"GO.ID","Term","Annotated","Significant","Expected","Rank in p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0002227","innate immune response in mucosa",28,7,2.5,212,0.00981,0.00981,"FAU,H2BC11,H2BC12,H2BC12L,H2BC21,H2BC8,RPL39"
"GO:0035094","response to nicotine",49,10,4.37,214,0.01009,0.01009,"BAD,CHRNA1,DRD2,IGF1R,LYPD1,MMP2,NKX6-1,RELA,TACR1,TH"
"GO:0043392","negative regulation of DNA binding",35,8,3.12,216,0.01039,0.01039,"CPNE1,E2F1,ILRUN,JUN,NFKBIA,SOX11,SUMO3,ZNF593"
"GO:0098609","cell-cell adhesion",946,105,84.32,218,0.0105,0.0105,"ADD2,AJUBA,AKNA,AKT1,AMIGO1,APOA1,ASCL2,ASS1,BAD,BOC,CBLB,CCN3,CD47,CD70,CD9,CDC42EP1,CDH13,CDH18,CDH6,CDSN,CELSR2,CLDN11,CLDN3,CLDN6,CLEC4M,COL8A2,CRB2,CRNN,CSRP1,CXCL12,DCHS2,DLG3,DNAJB6,DTX1,EPHB3,ETS1,FADD,FBLIM1,FGFRL1,FIBP,FLNA,FLOT1,FOXP3,FYN,GFUS,GLI3,HLA-DPB1,HLA-DRB3,HSPB1,ICAM3,ICAM4,ICOSLG,IDO1,IGF1,IGFBP2,IL1RL2,IL2RG,IL4I1,IRAK1,IRF1,ITGA11,ITGA9,ITGAX,ITGB5,ITPKB,LGALS7B,LOXL3,LRFN4,LRRC4,MAG,MYL9,NINJ2,NLRP3,NOTCH4,NRARP,NTN1,PCDHB6,PCDHGA11,PCDHGA9,PCDHGB4,PCDHGB5,PCDHGB7,PIK3CG,PIK3R6,PKD1L1,PKP1,PLEK,PODXL,PPP1CA,RELA,RIPOR2,RUNX3,SART1,SCRIB,SDK1,SERPINB8,SMARCD2,SOX12,SOX13,SPI1,STXBP6,TRIM29,TYRO3,ZBTB7B,ZP3"
"GO:1900034","regulation of cellular response to heat",16,5,1.43,219,0.01059,0.01059,"DNAJB1,DNAJB6,GSK3B,HSF1,MAPKAPK2"
"GO:0032088","negative regulation of NF-kappaB transcription factor activity",80,14,7.13,220,0.01061,0.01061,"ARRB2,BRMS1,CCDC22,CDKN2A,COMMD7,FAF1,FOXP3,IRAK1,NFKBIA,NFKBIB,NFKBIL1,NLRP3,PYDC1,SPI1"
"GO:0071345","cellular response to cytokine stimulus",817,92,72.82,222,0.01113,0.01113,"ACKR3,ADAMTS12,AKT1,APOA1,ARHGEF2,ASS1,ATP5F1B,BAD,CCDC3,CCL24,CCL26,CD47,CD70,CDC42EP4,CDK4,COMMD7,CPNE1,CRNN,CSF1,CSF2,CSF3,CSNK2B,CXCL12,DPYSL3,DTX1,EDN2,EIF5A,FADD,GAPDH,GCLM,GFPT2,GIPC1,GSK3B,GSTP1,H2BC11,HAX1,HCK,HTRA2,HYAL3,IFNLR1,IKBKE,IL15RA,IL1RL2,IL24,IL2RG,IL34,ILDR1,INHBA,IRAK1,IRF1,IRF8,MAPKAPK2,MAT2A,MCM2,MMP2,MT1X,MT2A,MT3,MYBL2,NEFH,NFATC1,NFKBIA,NKX6-1,NLRP7,PADI2,PHB1,PLVAP,PTP4A3,PYDC1,RAB20,RAB43,RELA,RIPOR2,RNF113A,RPS6KA4,SFRP1,SHARPIN,SHMT1,SLC25A5,SLC2A4,SPI1,SRM,STIP1,TCF7,TNFRSF18,TRAF2,TRAIP,TREX1,TUBA1B,USP18,YBX3,ZYX"
"GO:0042273","ribosomal large subunit biogenesis",76,17,6.77,97,0.0114,0.00031,"BOP1,EIF6,GTF3A,MRPL20,MRTO4,NHP2,NOC2L,NOP16,NOP2,RPL10,RPL10A,RPL24,RPL26L1,RPL35,RPL35A,RPLP0P6,WDR74"
"GO:0022613","ribonucleoprotein complex biogenesis",471,77,41.98,36,0.01173,1.2e-07,"AAR2,ABT1,AGO2,BOP1,BYSL,CELF4,DDX47,DDX49,DDX56,EIF3I,EIF3K,EIF6,EMG1,ERI3,EXOSC4,EXOSC5,FBL,GEMIN7,GNL3L,GRWD1,GTF3A,IMP4,ISG20L2,ISY1,LSM2,LSM4,MCTS1,MRPL20,MRPS2,MRTO4,NGRN,NHP2,NOC2L,NOP10,NOP16,NOP2,NOP9,NSUN5,POP4,POP7,PRMT5,PRPF19,PRPF6,PUF60,RAMACL,RPL10,RPL10A,RPL24,RPL26L1,RPL35,RPL35A,RPLP0P6,RPP25,RPS14,RPS17,RPS5,RPSA,RPUSD1,RPUSD2,RRP36,RUVBL1,RUVBL2,SART1,SF3B2,SF3B4,SF3B5,SNRPB,SNRPC,SNRPG,SUV39H1,TSR2,TSSC4,USP39,WDR46,WDR74,YJU2,ZNF593"
"GO:0000154","rRNA modification",36,8,3.21,226,0.01234,0.01234,"EMG1,FBL,NHP2,NOP10,NOP2,NSUN5,RPUSD1,RPUSD2"
"GO:0032094","response to food",36,8,3.21,227,0.01234,0.01234,"AKT1,CLPSL1,CYP1A1,G6PD,HSD11B2,MPO,MT3,NPY"
"GO:2001243","negative regulation of intrinsic apoptotic signaling pathway",106,17,9.45,228,0.01238,0.01238,"ACKR3,AKT1,ARHGEF2,CXCL12,ENO1,FYN,HSPB1,HTRA2,MAPK8IP1,MMP9,NDUFS3,NOC2L,PARL,PPIF,SFRP2,VDAC2,YBX3"
"GO:0033209","tumor necrosis factor-mediated signaling pathway",106,17,9.45,229,0.01238,0.01238,"APOA1,CCDC3,CD70,COMMD7,CPNE1,EIF5A,GSTP1,H2BC11,MAPKAPK2,NFKBIA,PLVAP,PYDC1,RELA,SHARPIN,TNFRSF18,TRAF2,TRAIP"
"GO:0032525","somite rostral/caudal axis specification",11,4,0.98,230,0.01245,0.01245,"LHX1,MESP1,MESP2,NRARP"
"GO:0097250","mitochondrial respirasome assembly",11,4,0.98,231,0.01245,0.01245,"COX7A2,COX7A2L,HIGD2A,RAB5IF"
"GO:0046940","nucleoside monophosphate phosphorylation",11,4,0.98,232,0.01245,0.01245,"AK1,AK2,AK4,DTYMK"
"GO:0038034","signal transduction in absence of ligand",66,12,5.88,233,0.01289,0.01289,"AKT1,BAD,BAK1,BCL2L10,CSF2,EYA2,FADD,GSK3B,HTRA2,INHBA,PPP1CA,UNC5B"
"GO:0097192","extrinsic apoptotic signaling pathway in absence of ligand",66,12,5.88,234,0.01289,0.01289,"AKT1,BAD,BAK1,BCL2L10,CSF2,EYA2,FADD,GSK3B,HTRA2,INHBA,PPP1CA,UNC5B"
"GO:0071456","cellular response to hypoxia",132,20,11.77,235,0.01304,0.01304,"AJUBA,AK4,AQP3,BAD,CHCHD2,DRD2,EGLN3,ENO1,FAM162A,HILPDA,IRAK1,LMNA,MT3,PGK1,PHB2,SFRP1,SLC2A4,STC2,SUV39H1,VASN"
"GO:0007096","regulation of exit from mitosis",17,5,1.52,239,0.01392,0.01392,"CDCA5,CDKN1C,MAD2L1BP,PHB2,UBE2C"
"GO:0019319","hexose biosynthetic process",91,15,8.11,240,0.01428,0.01428,"AKR1B1,ATF3,ENO1,ERFE,GCK,GPI,GPT2,MDH2,MTCL2,PGAM1,PGK1,PGM1,SLC25A10,SLC25A11,TPI1"
"GO:0045664","regulation of neuron differentiation",195,27,17.38,241,0.01435,0.01435,"ADRA2B,ADRA2C,ARHGEF2,BCL11A,CPNE1,CXCL12,DTX1,EIF4G1,FEZF2,GDPD5,GLI3,GSK3B,LMX1A,MAG,NGF,NKX6-1,NTF3,PBX1,RAP1GAP,SFRP1,SFRP2,SIX1,SOX11,SOX3,TGIF2,TUNAR,ZHX2"
"GO:0021602","cranial nerve morphogenesis",30,7,2.67,242,0.01443,0.01443,"EPHB1,EPHB2,GLI3,MAFB,PHOX2A,SEMA3F,SIX1"
"GO:0046034","ATP metabolic process",126,34,11.23,27,0.01496,2.7e-09,"AK1,AK2,AK4,ATP5F1B,ATP5MC1,ATP5MC3,ATP5ME,ATP5MF,ATP5MJ,ATP5PO,BAD,ENO1,LDHC,NDUFA1,NDUFA11,NDUFA3,NDUFA8,NDUFA9,NDUFB11,NDUFB2,NDUFB4,NDUFB7,NDUFB9,NDUFC2,NDUFS3,NDUFS5,NDUFS6,NDUFS7,NDUFS8,NDUFV1,NMNAT1,PARP1,STOML2,UQCC3"
"GO:0007006","mitochondrial membrane organization",115,21,10.25,135,0.01496,0.00117,"ALKBH7,BAD,BAK1,CHCHD10,CHCHD3,EYA2,GSK3B,MFN2,MTCH1,MTCH2,MTX1,PEX5,PPIF,ROMO1,SLC25A5,TIMM10,TIMM8B,TOMM40,TOMM5,UQCC3,VDAC2"
"GO:0036294","cellular response to decreased oxygen levels",143,21,12.75,246,0.01559,0.01559,"AJUBA,AK4,AKT1,AQP3,BAD,CHCHD2,DRD2,EGLN3,ENO1,FAM162A,HILPDA,IRAK1,LMNA,MT3,PGK1,PHB2,SFRP1,SLC2A4,STC2,SUV39H1,VASN"
"GO:0001523","retinoid metabolic process",84,14,7.49,247,0.01602,0.01602,"AKR1B1,AKR1B10,CRABP2,CYP1A1,CYP1A2,CYP26C1,DHRS3,DHRS4L1,DHRS4L2,HSD17B6,LRP2,RARRES2,RBP1,SDR16C5"
"GO:0036260","RNA capping",37,12,3.3,79,0.01622,5.4e-05,"ABT1,HSD17B10,NOP9,POP4,POP7,PRORP,RAMACL,RPP21,RPP25,RPP25L,SNRPB,SNRPG"
"GO:0031145","anaphase-promoting complex-dependent catabolic process",24,6,2.14,248,0.01646,0.01646,"ANAPC11,ANAPC15,CDC20,ECRG4,UBE2C,UBE2S"
"GO:0035902","response to immobilization stress",24,6,2.14,249,0.01646,0.01646,"CYP1A1,GAL,GPI,NR0B1,REN,TH"
"GO:0010804","negative regulation of tumor necrosis factor-mediated signaling pathway",24,6,2.14,250,0.01646,0.01646,"APOA1,CCDC3,GSTP1,H2BC11,PYDC1,TRAIP"
"GO:0001510","RNA methylation",93,15,8.29,253,0.01722,0.01722,"AKT1,EMG1,FBL,FTSJ1,HENMT1,HSD17B10,LCMT2,MEPCE,NOP2,NSUN5,RAMACL,SNRPB,SNRPG,TRMT12,TRMT61A"
"GO:0010458","exit from mitosis",31,7,2.76,255,0.01724,0.01724,"CDCA5,CDKN1C,MAD2L1BP,PHB2,RPL24,UBE2C,UBE2S"
"GO:2000316","regulation of T-helper 17 type immune response",31,7,2.76,256,0.01724,0.01724,"ASCL2,CARD9,EPHB2,FOXP3,JUNB,LOXL3,ZBTB7B"
"GO:2000273","positive regulation of signaling receptor activity",31,7,2.76,257,0.01724,0.01724,"ADRA2A,ADRA2B,ADRA2C,ARC,BUD31,EPHB2,GREM1"
"GO:0071377","cellular response to glucagon stimulus",12,4,1.07,258,0.01737,0.01737,"ADCY8,ASS1,FGF21,GJB2"
"GO:0017062","respiratory chain complex III assembly",12,4,1.07,259,0.01737,0.01737,"SLC25A33,UQCC2,UQCC3,UQCRFS1"
"GO:0007501","mesodermal cell fate specification",12,4,1.07,260,0.01737,0.01737,"EYA2,MESP1,SFRP2,SIX2"
"GO:2000320","negative regulation of T-helper 17 cell differentiation",12,4,1.07,261,0.01737,0.01737,"ASCL2,FOXP3,LOXL3,ZBTB7B"
"GO:0034551","mitochondrial respiratory chain complex III assembly",12,4,1.07,262,0.01737,0.01737,"SLC25A33,UQCC2,UQCC3,UQCRFS1"
"GO:0019321","pentose metabolic process",12,4,1.07,263,0.01737,0.01737,"DCXR,FGGY,G6PD,PGD"
"GO:0022618","protein-RNA complex assembly",203,39,18.09,56,0.01755,3.5e-06,"AAR2,ABT1,AGO2,BOP1,CELF4,EIF3I,EIF3K,EIF6,GEMIN7,ISY1,LSM2,LSM4,MCTS1,MRPL20,MRTO4,NOP2,PRMT5,PRPF19,PRPF6,PUF60,RAMACL,RPL10,RPL24,RPLP0P6,RPS14,RPS5,RPSA,RUVBL1,RUVBL2,SART1,SF3B2,SF3B4,SF3B5,SNRPB,SNRPC,SNRPG,TSSC4,USP39,YJU2"
"GO:0035278","miRNA-mediated gene silencing by inhibition of translation",18,5,1.6,265,0.01789,0.01789,"AGO2,AJUBA,EIF4G1,EIF6,RBM4"
"GO:0086066","atrial cardiac muscle cell to AV node cell communication",18,5,1.6,266,0.01789,0.01789,"FLNA,GJA5,KCNA5,KCNJ5,SCN5A"
"GO:0086026","atrial cardiac muscle cell to AV node cell signaling",18,5,1.6,267,0.01789,0.01789,"FLNA,GJA5,KCNA5,KCNJ5,SCN5A"
"GO:0086014","atrial cardiac muscle cell action potential",18,5,1.6,268,0.01789,0.01789,"FLNA,GJA5,KCNA5,KCNJ5,SCN5A"
"GO:1904645","response to amyloid-beta",46,9,4.1,269,0.01868,0.01868,"EPHB2,FYN,GSK3B,IGF1,IGF1R,MMP13,MMP2,MMP9,PARP1"
"GO:1990090","cellular response to nerve growth factor stimulus",46,9,4.1,270,0.01868,0.01868,"AKT1,CSTF2,EHD1,NGF,NTF3,PARP1,RAB35,SORT1,TMEM108"
"GO:0099623","regulation of cardiac muscle cell membrane repolarization",25,6,2.23,274,0.02006,0.02006,"FLNA,GJA5,KCNA5,KCNH2,SCN5A,WDR1"
"GO:0099171","presynaptic modulation of chemical synaptic transmission",32,7,2.85,275,0.02042,0.02042,"ADCY1,ADRA2A,DRD1,DRD2,GIPC1,GSK3B,SYT12"
"GO:0016101","diterpenoid metabolic process",87,14,7.75,278,0.0213,0.0213,"AKR1B1,AKR1B10,CRABP2,CYP1A1,CYP1A2,CYP26C1,DHRS3,DHRS4L1,DHRS4L2,HSD17B6,LRP2,RARRES2,RBP1,SDR16C5"
"GO:0071800","podosome assembly",19,5,1.69,285,0.02253,0.02253,"ASB2,CSF2,FSCN1,HCK,LCP1"
"GO:0090685","RNA localization to nucleus",19,5,1.69,286,0.02253,0.02253,"NHP2,NOP10,RUVBL1,RUVBL2,WRAP53"
"GO:0090670","RNA localization to Cajal body",19,5,1.69,287,0.02253,0.02253,"NHP2,NOP10,RUVBL1,RUVBL2,WRAP53"
"GO:0090671","telomerase RNA localization to Cajal body",19,5,1.69,288,0.02253,0.02253,"NHP2,NOP10,RUVBL1,RUVBL2,WRAP53"
"GO:0090672","telomerase RNA localization",19,5,1.69,289,0.02253,0.02253,"NHP2,NOP10,RUVBL1,RUVBL2,WRAP53"
