"GO.ID","Term","Annotated","Significant","Expected","Rank in p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0042554","superoxide anion generation",41,2,0.31,167,0.03892,0.03892,"NOX1,PON3"
"GO:0006721","terpenoid metabolic process",98,3,0.75,168,0.03894,0.03894,"CYP2W1,HMGCS1,LRAT"
"GO:0090398","cellular senescence",99,3,0.75,169,0.03994,0.03994,"COMP,HLA-G,WNT16"
"GO:0051130","positive regulation of cellular component organization",1101,14,8.39,173,0.04101,0.04101,"ATP8A1,C4A,C4B,CDH17,ELAPOR1,GPM6A,NOX1,NRXN1,PRDM9,RALBP1,SMPD3,TF,TSG101,VIL1"
"GO:0008228","opsonization",17,3,0.13,3,0.04422,0.00027,"C4B,C4BPA,C4BPB"
"GO:0030835","negative regulation of actin filament depolymerization",44,2,0.34,176,0.04425,0.04425,"SPTBN5,VIL1"
"GO:2000378","negative regulation of reactive oxygen species metabolic process",44,2,0.34,177,0.04425,0.04425,"PAGE4,PON3"
"GO:0008654","phospholipid biosynthetic process",253,5,1.93,178,0.04441,0.04441,"ABCA8,CHKA,HMGCS1,MVD,PIP5K1B"
"GO:0006163","purine nucleotide metabolic process",450,9,3.43,58,0.04504,0.00758,"ACSBG1,CROT,HAAO,HMGCS1,MVD,NOX1,NUDT4,SULT1E1,SULT2A1"
"GO:0009991","response to extracellular stimulus",521,8,3.97,179,0.04599,0.04599,"ASCL1,DAP,ELAPOR1,LRAT,PAGE4,SLC39A5,SLC6A4,UCN3"
"GO:0006775","fat-soluble vitamin metabolic process",45,2,0.34,180,0.04608,0.04608,"CYP2W1,LRAT"
"GO:0030003","intracellular monoatomic cation homeostasis",522,8,3.98,181,0.04642,0.04642,"ATP13A4,ATP1A4,GRIK2,HPX,LIME1,NOX1,SLC30A8,TF"
"GO:0042391","regulation of membrane potential",431,7,3.28,182,0.04699,0.04699,"ATP1A4,GABRA4,GLRA3,GRIK2,NRXN1,SLC6A4,UCN3"
"GO:0032526","response to retinoic acid",106,3,0.81,183,0.04731,0.04731,"ASCL1,LRAT,SLC6A4"
"GO:0060079","excitatory postsynaptic potential",106,3,0.81,184,0.04731,0.04731,"GLRA3,GRIK2,NRXN1"
"GO:0070849","response to epidermal growth factor",46,2,0.35,186,0.04794,0.04794,"ASCL1,VIL1"
"GO:0048483","autonomic nervous system development",46,2,0.35,187,0.04794,0.04794,"ASCL1,SLC6A4"
"GO:0098662","inorganic cation transmembrane transport",818,11,6.23,188,0.04799,0.04799,"ATP1A4,CABP4,GPM6A,KCNAB1,LIME1,PKD1L3,SLC15A2,SLC30A8,SLC39A5,SLC6A4,TF"
"GO:1905954","positive regulation of lipid localization",107,3,0.82,190,0.04841,0.04841,"ABCA8,ATP8A1,LRAT"
"GO:0032872","regulation of stress-activated MAPK cascade",181,4,1.38,191,0.04975,0.04975,"GRIK2,NOX1,PAGE4,WNT16"
"GO:0002673","regulation of acute inflammatory response",47,2,0.36,192,0.04983,0.04983,"ADAM8,DNASE1"
"GO:0044255","cellular lipid metabolic process",991,18,7.55,12,0.05017,0.00053,"ABCA8,ABHD16A,ABHD2,ACSBG1,APOD,APOH,B3GALT2,CHKA,CROT,CYP2A6,CYP2W1,FUT3,HMGCS1,LRAT,MVD,PIP5K1B,SMPD3,ST8SIA4"
"GO:0006873","intracellular monoatomic ion homeostasis",531,8,4.04,193,0.05038,0.05038,"ATP13A4,ATP1A4,GRIK2,HPX,LIME1,NOX1,SLC30A8,TF"
"GO:0003018","vascular process in circulatory system",263,5,2,195,0.0509,0.0509,"ATP1A4,ATP8A1,COMP,SLC15A2,SLC6A4"
"GO:0002923","regulation of humoral immune response mediated by circulating immunoglobulin",18,3,0.14,6,0.0514,0.00032,"C4BPA,C4BPB,HPX"
"GO:0006644","phospholipid metabolic process",374,8,2.85,60,0.05155,0.00793,"ABCA8,ABHD16A,CHKA,CYP2W1,HMGCS1,MVD,PIP5K1B,SMPD3"
"GO:0098815","modulation of excitatory postsynaptic potential",48,2,0.37,196,0.05174,0.05174,"GRIK2,NRXN1"
"GO:0035249","synaptic transmission, glutamatergic",110,3,0.84,198,0.05179,0.05179,"GRIK2,GRM7,NRXN1"
"GO:0030148","sphingolipid biosynthetic process",110,3,0.84,199,0.05179,0.05179,"ABCA8,B3GALT2,ST8SIA4"
"GO:0034329","cell junction assembly",441,7,3.36,200,0.05196,0.05196,"APOD,CDH17,CTNND2,GPM6A,NRXN1,POF1B,PTPRK"
"GO:0009259","ribonucleotide metabolic process",373,8,2.84,59,0.0521,0.00781,"ACSBG1,CROT,HMGCS1,MVD,NUDT4,SULT1E1,SULT2A1,UPB1"
"GO:0070302","regulation of stress-activated protein kinase signaling cascade",184,4,1.4,201,0.05226,0.05226,"GRIK2,NOX1,PAGE4,WNT16"
"GO:0046596","regulation of viral entry into host cell",49,2,0.37,202,0.05368,0.05368,"HS3ST5,TRIM31"
"GO:1900047","negative regulation of hemostasis",49,2,0.37,203,0.05368,0.05368,"APOH,COMP"
"GO:2000404","regulation of T cell migration",49,2,0.37,204,0.05368,0.05368,"ADAM8,APOD"
