"GO.ID","Term","Annotated","Significant","Expected","Rank in p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0010759","positive regulation of macrophage chemotaxis",19,3,0.31,64,0.00343,0.00343,"C5AR1,CCL5,CMKLR1"
"GO:1901658","glycosyl compound catabolic process",34,6,0.55,2,0.00388,1.6e-05,"AICDA,APOBEC3H,FUCA1,GDA,UPP1,XDH"
"GO:0043605","amide catabolic process",20,3,0.33,66,0.00399,0.00399,"GDA,HAL,XDH"
"GO:0055081","monoatomic anion homeostasis",21,3,0.34,67,0.0046,0.0046,"CPS1,KCNQ1,SLC12A3"
"GO:0048143","astrocyte activation",22,3,0.36,70,0.00526,0.00526,"C5AR1,GRN,IL6"
"GO:0098661","inorganic anion transmembrane transport",129,7,2.1,71,0.00527,0.00527,"APOL1,SLC12A3,SLC17A1,SLC25A27,SLC26A2,SLC26A5,SLC5A5"
"GO:0044282","small molecule catabolic process",372,16,6.07,15,0.00567,0.00043,"ABHD3,ACMSD,AICDA,APOBEC3H,CPT1B,CRYM,CYP4F11,DPEP1,GDA,HAL,HOGA1,LPIN3,MFSD2A,MIOX,UPP1,XDH"
"GO:0009154","purine ribonucleotide catabolic process",45,4,0.73,75,0.00611,0.00611,"GDA,PDE2A,VNN1,XDH"
"GO:1990573","potassium ion import across plasma membrane",45,4,0.73,76,0.00611,0.00611,"DLG1,FXYD2,KCNQ1,SLC12A3"
"GO:0007173","epidermal growth factor receptor signaling pathway",104,6,1.7,80,0.00716,0.00716,"AREG,BTC,GAB1,GAREM1,PIGR,PTPN3"
"GO:0006820","monoatomic anion transport",170,10,2.77,18,0.00724,0.00049,"APOL1,KCNQ1,SLC12A3,SLC17A1,SLC17A3,SLC25A27,SLC26A2,SLC26A5,SLC5A5,SLC6A14"
"GO:0042116","macrophage activation",105,6,1.71,82,0.00749,0.00749,"BPI,C5AR1,GRN,IL4R,IL6,TMEM229B"
"GO:0046427","positive regulation of receptor signaling pathway via JAK-STAT",48,4,0.78,83,0.00768,0.00768,"CAMK2A,CCL5,IL6,PRLR"
"GO:0043270","positive regulation of monoatomic ion transport",211,9,3.44,84,0.00796,0.00796,"CAMK2A,CCL5,DLG1,FXYD2,GLRX,KCNQ1,STAC3,STIM2,TRPC6"
"GO:0090630","activation of GTPase activity",107,6,1.75,88,0.00819,0.00819,"AGAP5,AGAP6,AGAP7P,AGAP9,ARHGAP29,RALGAPA2"
"GO:0010518","positive regulation of phospholipase activity",49,4,0.8,91,0.00826,0.00826,"C5AR1,CCL5,PLCB2,S1PR4"
"GO:0042278","purine nucleoside metabolic process",26,3,0.42,92,0.00846,0.00846,"GDA,MACROD2,XDH"
"GO:0071320","cellular response to cAMP",50,4,0.82,96,0.00887,0.00887,"CPS1,KCNQ1,PDE2A,SLC5A5"
"GO:0097009","energy homeostasis",78,5,1.27,97,0.00894,0.00894,"FOXO1,MFSD2A,OMA1,SLC12A3,TSKU"
"GO:0009064","glutamine family amino acid metabolic process",78,5,1.27,98,0.00894,0.00894,"CPS1,GGT1,HAL,NOXRED1,RIMKLB"
"GO:0015711","organic anion transport",440,17,7.18,25,0.009,0.00095,"CPT1B,CTNS,MFSD2A,PTGES,SLC10A2,SLC16A4,SLC16A6,SLC17A1,SLC17A3,SLC22A9,SLC23A3,SLC25A16,SLC26A2,SLC26A5,SLC36A2,SLC6A14,SLC6A6"
"GO:0030148","sphingolipid biosynthetic process",110,6,1.79,100,0.00932,0.00932,"ELOVL3,ELOVL7,FA2H,PLA2G6,SPTLC3,UGCG"
"GO:0046037","GMP metabolic process",27,3,0.44,101,0.00941,0.00941,"DLG1,GDA,XDH"
"GO:0042832","defense response to protozoan",27,3,0.44,102,0.00941,0.00941,"BATF2,IL4R,LYST"
"GO:0098656","monoatomic anion transmembrane transport",145,7,2.37,104,0.00979,0.00979,"APOL1,SLC12A3,SLC17A3,SLC25A27,SLC26A2,SLC26A5,SLC5A5"
"GO:0033559","unsaturated fatty acid metabolic process",112,6,1.83,107,0.01014,0.01014,"CYP2B6,CYP2C9,CYP4F11,ELOVL3,ELOVL7,PTGES"
"GO:0009264","deoxyribonucleotide catabolic process",28,3,0.46,109,0.01041,0.01041,"GDA,UPP1,XDH"
"GO:0046386","deoxyribose phosphate catabolic process",28,3,0.46,110,0.01041,0.01041,"GDA,UPP1,XDH"
"GO:0046337","phosphatidylethanolamine metabolic process",28,3,0.46,111,0.01041,0.01041,"CEPT1,MFSD2A,PLA2G6"
"GO:0007202","activation of phospholipase C activity",28,3,0.46,112,0.01041,0.01041,"C5AR1,PLCB2,S1PR4"
"GO:0097267","omega-hydroxylase P450 pathway",10,2,0.16,115,0.01095,0.01095,"CYP2C9,CYP4F11"
"GO:0006751","glutathione catabolic process",10,2,0.16,116,0.01095,0.01095,"DPEP1,GGT1"
"GO:0009169","purine ribonucleoside monophosphate catabolic process",10,2,0.16,117,0.01095,0.01095,"GDA,XDH"
"GO:0009155","purine deoxyribonucleotide catabolic process",10,2,0.16,118,0.01095,0.01095,"GDA,XDH"
"GO:0009170","purine deoxyribonucleoside monophosphate metabolic process",10,2,0.16,119,0.01095,0.01095,"GDA,XDH"
"GO:0009128","purine nucleoside monophosphate catabolic process",10,2,0.16,120,0.01095,0.01095,"GDA,XDH"
"GO:0002291","T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell",10,2,0.16,121,0.01095,0.01095,"HLA-DMB,ITGAL"
"GO:0003418","growth plate cartilage chondrocyte differentiation",10,2,0.16,122,0.01095,0.01095,"COL27A1,TSKU"
"GO:0035771","interleukin-4-mediated signaling pathway",10,2,0.16,123,0.01095,0.01095,"IL4R,PARP14"
"GO:0042403","thyroid hormone metabolic process",29,3,0.47,124,0.01148,0.01148,"CRYM,CTNS,SLC5A5"
"GO:0015697","quaternary ammonium group transport",29,3,0.47,125,0.01148,0.01148,"SLC22A5,SLC44A3,SLC6A14"
"GO:0032414","positive regulation of ion transmembrane transporter activity",84,5,1.37,127,0.01209,0.01209,"FXYD2,GLRX,STAC3,STIM2,TRPC6"
"GO:0010876","lipid localization",481,15,7.85,131,0.01286,0.01286,"APOL1,ATP11A,CPT1B,IL6,KCNQ1,MFSD2A,NPC1L1,PTGES,RNF213,SLC10A2,SLC22A9,SPP1,TSKU,UGCG,XKR4"
"GO:0009164","nucleoside catabolic process",25,5,0.41,3,0.01299,4.5e-05,"AICDA,APOBEC3H,GDA,UPP1,XDH"
"GO:1901748","leukotriene D4 metabolic process",11,2,0.18,132,0.01324,0.01324,"DPEP1,GGT1"
"GO:0009120","deoxyribonucleoside metabolic process",11,2,0.18,133,0.01324,0.01324,"GDA,XDH"
"GO:0019532","oxalate transport",11,2,0.18,134,0.01324,0.01324,"SLC26A2,SLC26A5"
"GO:0015747","urate transport",11,2,0.18,135,0.01324,0.01324,"SLC17A1,SLC17A3"
"GO:1990961","xenobiotic detoxification by transmembrane export across the plasma membrane",11,2,0.18,136,0.01324,0.01324,"SLC17A3,SLC22A5"
"GO:0110011","regulation of basement membrane organization",11,2,0.18,137,0.01324,0.01324,"LAMA1,LAMC1"
"GO:0010232","vascular transport",87,5,1.42,139,0.01392,0.01392,"MFSD2A,SLC22A5,SLC28A2,SLC5A5,SLC6A6"
"GO:0150104","transport across blood-brain barrier",87,5,1.42,140,0.01392,0.01392,"MFSD2A,SLC22A5,SLC28A2,SLC5A5,SLC6A6"
"GO:1902305","regulation of sodium ion transmembrane transport",57,4,0.93,141,0.01392,0.01392,"DLG1,FXYD2,GLRX,PTPN3"
"GO:0007566","embryo implantation",57,4,0.93,142,0.01392,0.01392,"ACVR1B,PCSK5,PRLR,SPP1"
"GO:0006690","icosanoid metabolic process",121,6,1.97,143,0.01444,0.01444,"CYP2B6,CYP2C9,CYP4F11,DPEP1,GGT1,PTGES"
"GO:1903053","regulation of extracellular matrix organization",58,4,0.95,145,0.01477,0.01477,"ANGPTL7,IL6,LAMA1,LAMC1"
"GO:0043030","regulation of macrophage activation",58,4,0.95,146,0.01477,0.01477,"BPI,GRN,IL4R,IL6"
"GO:0002063","chondrocyte development",32,3,0.52,148,0.01503,0.01503,"COL27A1,PTHLH,TSKU"
"GO:0061436","establishment of skin barrier",32,3,0.52,149,0.01503,0.01503,"FA2H,MET,UGCG"
"GO:0003013","circulatory system process",583,17,9.51,150,0.01543,0.01543,"ACSM3,C2CD4A,CPS1,DLG1,EPAS1,KCNQ1,LNPEP,MDM2,MFSD2A,PCSK5,PDE2A,SCPEP1,SLC22A5,SLC28A2,SLC5A5,SLC6A6,TTN"
"GO:0006821","chloride transport",123,6,2.01,151,0.01555,0.01555,"APOL1,SLC12A3,SLC25A27,SLC26A2,SLC26A5,SLC6A14"
"GO:0035524","proline transmembrane transport",12,2,0.2,156,0.01571,0.01571,"SLC36A2,SLC6A14"
"GO:0009972","cytidine deamination",12,2,0.2,157,0.01571,0.01571,"AICDA,APOBEC3H"
"GO:0036295","cellular response to increased oxygen levels",12,2,0.2,158,0.01571,0.01571,"FAS,FOXO1"
"GO:0016554","cytidine to uridine editing",12,2,0.2,159,0.01571,0.01571,"AICDA,APOBEC3H"
"GO:2001046","positive regulation of integrin-mediated signaling pathway",12,2,0.2,160,0.01571,0.01571,"LAMA1,LAMC1"
"GO:0046087","cytidine metabolic process",12,2,0.2,161,0.01571,0.01571,"AICDA,APOBEC3H"
"GO:0006216","cytidine catabolic process",12,2,0.2,162,0.01571,0.01571,"AICDA,APOBEC3H"
"GO:0006863","purine nucleobase transport",12,2,0.2,163,0.01571,0.01571,"SLC23A3,SLC28A2"
"GO:0006521","regulation of cellular amino acid metabolic process",12,2,0.2,164,0.01571,0.01571,"ACMSD,BHMT"
"GO:0061303","cornea development in camera-type eye",12,2,0.2,165,0.01571,0.01571,"ANGPTL7,WNT2B"
"GO:0021670","lateral ventricle development",12,2,0.2,166,0.01571,0.01571,"DNAH5,TSKU"
"GO:0033865","nucleoside bisphosphate metabolic process",124,6,2.02,167,0.01612,0.01612,"ACSM3,ACSM6,ELOVL3,ELOVL7,SLC25A16,VNN1"
"GO:0033875","ribonucleoside bisphosphate metabolic process",124,6,2.02,168,0.01612,0.01612,"ACSM3,ACSM6,ELOVL3,ELOVL7,SLC25A16,VNN1"
"GO:0034032","purine nucleoside bisphosphate metabolic process",124,6,2.02,169,0.01612,0.01612,"ACSM3,ACSM6,ELOVL3,ELOVL7,SLC25A16,VNN1"
