"GO.ID","Term","Annotated","Significant","Expected","Rank in p.value_classic","p.value_elim","p.value_classic","genes"
"GO:2000826","regulation of heart morphogenesis",10,2,0.13,304,0.00739,0.00739,"ROBO1,ROBO2"
"GO:1903365","regulation of fear response",10,2,0.13,305,0.00739,0.00739,"GRPR,MEF2C"
"GO:0043587","tongue morphogenesis",10,2,0.13,306,0.00739,0.00739,"SIX1,SIX4"
"GO:0072172","mesonephric tubule formation",10,2,0.13,307,0.00739,0.00739,"SIX1,SIX4"
"GO:0031175","neuron projection development",987,36,13.13,14,0.00787,3.4e-08,"ATCAY,CLRN1,CNTN1,CNTNAP1,DOCK10,EPHA3,EPHA7,ETV1,FEZ1,FZD3,GPM6B,GRIN3A,HERC1,ITGA4,LAMA2,LHX9,MAP1A,MEF2C,MGARP,NCAM2,NDNF,NEFL,NR2F1,NR4A2,PAX6,ROBO1,ROBO2,RPS6KA5,SERPINF1,SLC23A2,SLITRK6,SPRY3,SYT1,UNC13A,WASF1,ZDHHC15"
"GO:0035115","embryonic forelimb morphogenesis",31,3,0.41,310,0.00794,0.00794,"CACNA1C,RPGRIP1L,TWIST1"
"GO:0040036","regulation of fibroblast growth factor receptor signaling pathway",31,3,0.41,311,0.00794,0.00794,"FGFBP3,HHIP,SPRY3"
"GO:2000352","negative regulation of endothelial cell apoptotic process",31,3,0.41,312,0.00794,0.00794,"ANGPT1,NDNF,SCG2"
"GO:0000902","cell morphogenesis",959,32,12.76,26,0.00796,1.5e-06,"ARHGAP15,CDH19,CLRN1,CNTN1,CNTNAP1,CRB1,DOCK10,EPHA3,EPHA7,ETV1,FEZ1,FZD3,ITGA4,LAMA2,LHX9,MAEL,MAP1A,MEF2C,NEFL,NR4A2,PAX6,ROBO1,ROBO2,RPS6KA5,SLC23A2,SLITRK6,SPRY3,SYT1,UNC13A,WASF1,YAP1,ZDHHC15"
"GO:0034330","cell junction organization",750,25,9.98,47,0.00803,2.4e-05,"ADGRL3,ANK2,CBLN2,CDH19,CNTNAP1,DOCK10,EPHA3,EPHA7,GPM6B,JAM3,MEF2C,NEFL,PCDHB14,PRKCH,ROBO2,RPS6KA5,SIX1,SIX4,SLITRK6,SNCA,SPARCL1,THBS2,UNC13A,WASF1,ZDHHC15"
"GO:0051960","regulation of nervous system development",457,17,6.08,88,0.0081,0.00014,"CBLN2,DLX2,EPHA7,FZD3,JAM2,KRAS,NEFL,PAX6,PCM1,PRKCH,ROBO1,ROBO2,SERPINF1,SLITRK6,SOX11,THBS2,YAP1"
"GO:0045598","regulation of fat cell differentiation",132,6,1.76,314,0.00848,0.00848,"AXIN2,FTO,MEX3C,SIX1,WIF1,YAP1"
"GO:1905606","regulation of presynapse assembly",32,3,0.43,315,0.00867,0.00867,"CBLN2,SLITRK6,SNCA"
"GO:0002063","chondrocyte development",32,3,0.43,316,0.00867,0.00867,"AXIN2,COL11A1,MEX3C"
"GO:0008593","regulation of Notch signaling pathway",95,5,1.26,319,0.00877,0.00877,"DLK1,DLX2,ROBO1,ROBO2,YAP1"
"GO:0007368","determination of left/right symmetry",133,6,1.77,320,0.00878,0.00878,"MEF2C,PIERCE2,RPGRIP1L,RTTN,TBX2,WIF1"
"GO:0060900","embryonic camera-type eye formation",11,2,0.15,321,0.00895,0.00895,"SOX11,TWIST1"
"GO:0070213","protein auto-ADP-ribosylation",11,2,0.15,322,0.00895,0.00895,"TNKS,TNKS2"
