"GO.ID","Term","Annotated","Significant","Expected","Rank in p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0018108","peptidyl-tyrosine phosphorylation",270,7,2.39,108,0.01044,0.01044,"ADNP,ENPP2,FLT1,HCLS1,PDGFA,PDGFRB,PTPN1"
"GO:2000369","regulation of clathrin-dependent endocytosis",18,2,0.16,110,0.01089,0.01089,"PIK3CB,SNAP91"
"GO:0006890","retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum",52,3,0.46,114,0.011,0.011,"ATP9A,KDELR2,KDELR3"
"GO:0045216","cell-cell junction organization",211,6,1.87,117,0.0114,0.0114,"CDH17,CLDN15,CLDN2,GPBAR1,PARD6B,PRKCI"
"GO:0005975","carbohydrate metabolic process",563,11,4.99,120,0.01177,0.01177,"A4GNT,ADCYAP1R1,ANGPTL3,DSEL,GAL3ST3,MOGAT3,NPY1R,PYGM,SLC4A4,ST3GAL4,UXS1"
"GO:0007043","cell-cell junction assembly",154,5,1.37,122,0.01209,0.01209,"CDH17,CLDN15,CLDN2,GPBAR1,PARD6B"
"GO:0032516","positive regulation of phosphoprotein phosphatase activity",19,2,0.17,124,0.0121,0.0121,"ITGA1,PDGFRB"
"GO:0006071","glycerol metabolic process",20,2,0.18,128,0.01337,0.01337,"ANGPTL3,MOGAT3"
"GO:0043552","positive regulation of phosphatidylinositol 3-kinase activity",21,2,0.19,133,0.01469,0.01469,"FLT1,PDGFRB"
"GO:0043523","regulation of neuron apoptotic process",225,6,2,137,0.01524,0.01524,"ADNP,EN2,GRM4,ITGA1,OXR1,PRKCI"
"GO:0010517","regulation of phospholipase activity",59,3,0.52,138,0.01548,0.01548,"ANGPTL3,FLT1,PDGFRB"
"GO:0019400","alditol metabolic process",22,2,0.2,140,0.01607,0.01607,"ANGPTL3,MOGAT3"
"GO:0002689","negative regulation of leukocyte chemotaxis",22,2,0.2,141,0.01607,0.01607,"C5,MMP28"
"GO:0019751","polyol metabolic process",109,4,0.97,142,0.01614,0.01614,"ADCYAP1R1,ANGPTL3,MOGAT3,NAAA"
"GO:0034329","cell junction assembly",441,9,3.91,144,0.01697,0.01697,"ADNP,CDH17,CLDN15,CLDN2,GPBAR1,KIRREL3,MYOC,PARD6B,SLITRK2"
"GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules",168,5,1.49,145,0.01704,0.01704,"CDH17,CDHR1,CELSR1,KIRREL3,PIK3CB"
