our_line,our_subtype,depmap_name,depmap_ACH,depmap_RRID,depmap_oncotree_subtype,spearman_hvg,pearson_hvg,is_selfpair,self_rank_of67,margin_self_vs_next
OV90,HGS,COV434,ACH-000123,CVCL_2010,Small Cell Carcinoma of the Ovary,0.25933215723713465,0.2346439943750013,FALSE,NA,NA
TOV21G,CC,OV90,ACH-000291,CVCL_3768,Serous Ovarian Cancer,0.45504528633964625,0.4683527136603749,FALSE,NA,NA
TOV21G,CC,TOV21G,ACH-000885,CVCL_3613,Clear Cell Ovarian Cancer,0.8186973671671315,0.8287927117604298,TRUE,1,0.23397222177228416
TOV21G,CC,TOV112D,ACH-000048,CVCL_3612,Endometrioid Ovarian Cancer,0.3303738830201459,0.3041354035120644,FALSE,NA,NA
TOV21G,CC,BIN67,ACH-001278,CVCL_S987,Small Cell Carcinoma of the Ovary,0.2971194454298426,0.28222089592167415,FALSE,NA,NA
TOV21G,CC,COV434,ACH-000123,CVCL_2010,Small Cell Carcinoma of the Ovary,0.31376260813724216,0.28994418771643515,FALSE,NA,NA
TOV3392D,CC,OV90,ACH-000291,CVCL_3768,Serous Ovarian Cancer,0.2951166960224519,0.29215606177380304,FALSE,NA,NA
TOV3392D,CC,TOV21G,ACH-000885,CVCL_3613,Clear Cell Ovarian Cancer,0.3650786573616625,0.36650360190273995,FALSE,NA,NA
TOV3392D,CC,TOV112D,ACH-000048,CVCL_3612,Endometrioid Ovarian Cancer,0.0890778512364226,0.04984051455302851,FALSE,NA,NA
TOV3392D,CC,BIN67,ACH-001278,CVCL_S987,Small Cell Carcinoma of the Ovary,0.189585633805041,0.15387166878195735,FALSE,NA,NA
TOV3392D,CC,COV434,ACH-000123,CVCL_2010,Small Cell Carcinoma of the Ovary,0.18476811138487814,0.1395397645686178,FALSE,NA,NA
VOA10816,CC,OV90,ACH-000291,CVCL_3768,Serous Ovarian Cancer,0.32606484875019565,0.3223168158171945,FALSE,NA,NA
VOA10816,CC,TOV21G,ACH-000885,CVCL_3613,Clear Cell Ovarian Cancer,0.47800175369826603,0.48326291880020816,FALSE,NA,NA
