cell_line,field,value,source_file,source_sheet,source_cell,source_sha256
OV2295-R2,read_set_id,HI.4316.005.Index_6.OV2295-2_P70,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AE4,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV2295-R2,provider_number_of_reads,"65,428,397",mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AH4,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV2295-R2,provider_number_of_cycles,208,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AI4,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV3133-R,provider_name,OV3133(R)_P71,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,A5,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV3133-R,provider_library_name,OV3133_P71,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,B5,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV3133-R,run_type,PAIRED_END,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,J5,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV3133-R,library_source,gDNA,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,O5,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV3133-R,capture_library_type,SeqCap Exome (Roche Nimblegen),mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,P5,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV3133-R,sequencing_type,Illumina HiSeq 4000 PE100,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,Q5,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV3133-R,adapter,Illumina TruSeq LT,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,T5,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV3133-R,provider_run,4316,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,X5,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV3133-R,capture_bed_files,SeqCap_EZ_Exome_v3.targets.bed;SeqCap_EZ_Exome_v3.probes.bed,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AC5,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV3133-R,run_start_date,2017-08-11,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AD5,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV3133-R,read_set_id,HI.4316.005.Index_18.OV3133_P71,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AE5,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV3133-R,provider_number_of_reads,"65,837,063",mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AH5,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV3133-R,provider_number_of_cycles,208,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AI5,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV3133-R2,provider_name,OV3133(R2)_P58,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,A6,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV3133-R2,provider_library_name,OV3133.2_P58,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,B6,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV3133-R2,run_type,PAIRED_END,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,J6,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV3133-R2,library_source,gDNA,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,O6,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV3133-R2,capture_library_type,SeqCap Exome (Roche Nimblegen),mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,P6,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV3133-R2,sequencing_type,Illumina HiSeq 4000 PE100,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,Q6,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV3133-R2,adapter,Illumina TruSeq LT,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,T6,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV3133-R2,provider_run,4316,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,X6,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV3133-R2,capture_bed_files,SeqCap_EZ_Exome_v3.targets.bed;SeqCap_EZ_Exome_v3.probes.bed,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AC6,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV3133-R2,run_start_date,2017-08-11,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AD6,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV3133-R2,read_set_id,HI.4316.006.Index_14.OV3133-2_P58,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AE6,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV3133-R2,provider_number_of_reads,"69,326,021",mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AH6,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV3133-R2,provider_number_of_cycles,208,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AI6,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV3291,provider_name,OV3291_P46,mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,A3,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
OV3291,provider_library_name,OV3291_P46,mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,B3,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
OV3291,run_type,PAIRED_END,mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,J3,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
OV3291,library_source,gDNA,mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,O3,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
