signature,cell_line,contribution,total_fitted,rel_contribution,reference_set,boot_mean,boot_median,boot_lo95,boot_hi95,boot_selected_frac,n_boots,signature_group,n_snv_used,cosmic_source,cosmic_genome,mutationalpatterns_version,fit_method,max_delta,n_boots_requested,bootstrap_input_sha256,subtype,is_hypermutator
SBS11,OV2085,0,471.27990258252083,0,full,0.6830164853232539,0,0,0.5071907520588175,0.025,200,other,476,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS12,OV2085,0,471.27990258252083,0,full,4.883676790806132,0,0,51.47281906900891,0.125,200,other,476,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS16,OV2085,0,471.27990258252083,0,full,0.11054159644071572,0,0,0,0.005,200,other,476,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS17a,OV2085,0,471.27990258252083,0,full,0.4705938766899837,0,0,14.619179733239948,0.03,200,other,476,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS17b,OV2085,0,471.27990258252083,0,full,0.0542804253600058,0,0,0,0.005,200,other,476,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS18,OV2085,0,471.27990258252083,0,full,0.4815039640110363,0,0,0,0.02,200,other,476,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS19,OV2085,0,471.27990258252083,0,full,0.7965244973057947,0,0,0.3665304283259705,0.025,200,other,476,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS23,OV2085,0,471.27990258252083,0,full,1.3159539594335723,0,0,30.229368342695143,0.035,200,other,476,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS24,OV2085,0,471.27990258252083,0,full,15.96757648980084,0,0,73.67154996949901,0.335,200,other,476,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS25,OV2085,0,471.27990258252083,0,full,0.76423119478655,0,0,0,0.015,200,other,476,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS26,OV2085,0,471.27990258252083,0,full,8.169121883432538,0,0,48.453103746491905,0.24,200,MMR-d / MSI,476,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS28,OV2085,0,471.27990258252083,0,full,0.27517431556513755,0,0,0,0.02,200,POLE proofreading,476,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS32,OV2085,0,471.27990258252083,0,full,1.8075008024627013,0,0,26.356595404097497,0.065,200,other,476,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS33,OV2085,0,471.27990258252083,0,full,0.7801435614716282,0,0,17.569664500981048,0.04,200,other,476,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS35,OV2085,0,471.27990258252083,0,full,0.879176307511111,0,0,0,0.02,200,other,476,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS37,OV2085,0,471.27990258252083,0,full,2.7604380614817754,0,0,34.6469859321859,0.075,200,other,476,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS40,OV2085,0,471.27990258252083,0,full,2.047074840695738,0,0,1.2803058209185478,0.025,200,clock-like (age),476,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS44,OV2085,0,471.27990258252083,0,full,0.3233867235659772,0,0,0,0.01,200,MMR-d / MSI,476,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS84,OV2085,0,471.27990258252083,0,full,0.12501986094861772,0,0,0,0.005,200,other,476,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS85,OV2085,0,471.27990258252083,0,full,0.09161420196058916,0,0,0,0.005,200,other,476,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS86,OV2085,0,471.27990258252083,0,full,6.164599107725155,0,0,43.141520377201104,0.18,200,other,476,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS88,OV2085,0,471.27990258252083,0,full,0.6163979479169419,0,0,12.647185126397355,0.035,200,other,476,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS89,OV2085,0,471.27990258252083,0,full,3.005806897626587,0,0,42.62132286882127,0.07,200,other,476,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS94,OV2085,0,471.27990258252083,0,full,0.6700300979252377,0,0,0,0.015,200,other,476,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
