gene_id,OV1369-R2,OV1946,OV2085,OV2295,OV2295-R2,OV3133-R,OV4453,OV4485,OV866-2,TOV1369,TOV3041G,TOV3133G,TOV3291G,OV3331,OV90,TOV21G,TOV3392D,VOA10816,VOA12539,VOA295,VOA4841,VOA6861,TOV112D,VOA4395,TOV2414,VOA8762,VOA8771,VOA5217,VOA5436,BIN67,COV434
ENSG00000164081,3484,1204,3702,3291,4364,5855,1749,2403,3047,3309,4529,7440,1789,2617,879,3997,5331,4260,5353,5060,5693,1978,2068,2216,6880,2303,2315,1334,2170,2968,2155
ENSG00000164082,10,2,12,8,17,2,322,4,22,8,28,1,5,145,3,15,0,12,18,41,8,44,9,23,1,48,12,14,9,5,4
ENSG00000164086,3058,1271,1546,525,1451,1615,2801,1054,1503,828,4006,1674,1197,1958,273,1735,797,600,975,2348,1432,290,629,1456,3812,496,229,150,573,732,1118
ENSG00000164087,4328,569,2768,2398,3878,3126,1532,755,2387,3914,4028,3378,3027,1865,257,2549,465,869,1797,2526,236,1494,2055,913,3133,983,1679,445,607,866,1973
ENSG00000164088,773,313,721,1100,1024,397,554,427,248,390,638,204,383,1340,307,1195,56,1643,2286,532,1161,470,547,1344,1474,623,505,190,238,143,430
ENSG00000164089,1,17,1,0,1,3,4,5,0,1,24,1,0,0,1,0,0,4,10,2,1,3,6,1,0,3,1,1,0,0,0
ENSG00000164091,11191,4068,6483,6323,5081,6457,8365,4474,6807,5054,9648,6822,5321,9002,3955,13498,4477,5067,16097,8870,4896,4828,7811,8614,10993,6181,5221,3164,3622,4633,6999
ENSG00000164093,241,770,0,103,100,151,28,0,96,28,38,244,437,282,6,1520,1075,1076,2753,240,109,0,334,0,17,124,360,26,597,25,32
ENSG00000164096,2883,1860,2,2491,3811,1062,10867,1411,1680,1806,3569,605,3046,3178,1604,4011,1850,1969,2763,5280,3411,3042,3580,1995,3205,5485,3065,1858,3480,4013,2758
ENSG00000164099,25,590,3,2284,15163,55,4959,114,6,1509,2601,160,164,1723,857,636,0,128,284,34,516,84,185,25,2521,1087,1121,4,10,11715,80546
ENSG00000164100,3,19,23,11,40,14,52,0,1,0,43,15,2,17,0,1,1,5,67,10,28,1,3,0,36,2,71,19,89,48,120
ENSG00000164104,11267,4355,1984,4660,9153,2497,7654,894,2175,2570,13360,4127,2711,5508,3079,5429,278,2409,6827,17624,456,7811,9017,3892,2618,5132,8464,7097,6682,3759,7737
ENSG00000164105,1466,296,339,707,1081,394,506,44,222,299,1319,453,755,437,583,1374,167,297,660,1852,113,579,726,344,521,438,314,1176,1130,613,597
ENSG00000164106,10,6,23,3,8,8,16,10,2,8,8,17,6,15,829,18,8,28,31,65,45,20,18,37,7,60,49,41,22,50,48
ENSG00000164107,1,417,29,25,72,3,1,0,19,1,25,5,4,143,0,96,0,0,9,0,0,1,1778,15,0,0,0,68,45,96,41
ENSG00000164109,1690,677,953,996,8977,891,2618,98,758,751,2617,1107,1790,1292,914,1762,68,991,1838,4001,268,3026,3272,1247,481,2205,3725,1507,2606,1869,4372
ENSG00000164111,51183,19052,12026,26375,66144,16775,16909,11640,19251,23184,41092,13137,35283,15970,53951,24277,9334,15822,34069,19337,14060,11997,12692,12813,41929,11985,12504,34244,31374,12309,1574
ENSG00000164112,15,17,1,3,7,0,13,2,0,31,168,5,12,51,0,0,1,364,3,0,2,32,1,0,0,0,1,0,0,0,0
ENSG00000164114,30,271,266,113,1319,109,503,19,58,36,42,137,116,98,273,229,110,702,1743,2153,1142,1164,1500,616,228,662,880,790,2382,1061,618
ENSG00000164116,286,17,1,3,52,3,113,0,1,26,401,249,2,108,17,367,6,263,322,203,0,4,860,0,0,183,172,1158,146,192,113
ENSG00000164117,615,704,289,613,557,356,503,277,207,367,583,207,256,327,1360,1361,6951,3438,3294,2298,313,479,1168,399,685,757,852,1587,2710,314,380
ENSG00000164118,200,258,200,152,254,97,263,71,96,70,108,176,82,310,1063,524,2481,8319,6706,4225,585,871,2311,505,160,906,873,4738,7062,522,875
ENSG00000164120,0,1,17,5,20,4,3,0,0,0,3,2,12,43,915,11,0,12,0,0,0,0,20,0,48,2764,3940,0,0,21,15
ENSG00000164122,316,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,4,1,4,6,2,2,9,11,0,0,17,0
ENSG00000164123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,13,1,9,2,0,1,89,180
ENSG00000164124,131,381,192,171,183,22,513,68,64,50,146,13,62,53,636,617,374,2849,2791,2696,660,1116,1359,1350,150,1974,880,1443,1185,2898,4
ENSG00000164125,60,14,15,24,581,18,1825,6,11,36,127,33,148,965,3958,1703,3,48,1733,15,905,2991,21058,13379,32,8263,2056,72,82,18965,4
ENSG00000164128,0,80,4,1,7,0,0,0,9,0,3,1,13,6,0,0,2061,72,2,18,25,50,0,0,0,9,7,1345,100,20,7
ENSG00000164129,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,31,14,0,10,15,24,0,0,0,0,0,6,0,0,0
ENSG00000164134,921,1801,995,716,4044,563,3762,163,628,336,1150,805,525,1005,2385,1843,628,2302,2897,5874,4842,5197,4354,3610,662,2887,3396,2930,4831,4557,8580
ENSG00000164136,582,211,60,116,496,887,157,68,95,113,662,1005,175,277,35,127,29,88,331,1135,521,1023,44,32,299,241,437,1752,2421,48,21
ENSG00000164142,593,68,85,222,471,126,714,185,78,440,1510,261,333,386,122,559,164,319,243,618,405,731,42,59,611,445,465,187,199,5,1
ENSG00000164144,320,895,362,489,1175,648,1244,123,208,238,576,648,501,586,1866,1313,576,1354,1303,2234,1040,1382,1379,1292,823,2051,2239,1116,2669,1384,982
ENSG00000164151,1710,5695,926,277,725,623,4395,378,1088,512,1080,1464,359,1641,2938,1800,944,2410,4358,4492,6375,4534,5633,3782,727,7314,4651,2874,5342,2705,5633
ENSG00000164161,639,581,0,4,13,2,53,0,42,35,210,1,7,18,462,5,7,4,14,8,40,413,1767,46628,402,40,190,20,16,16,98
ENSG00000164162,332,346,747,356,1321,302,383,147,183,168,456,338,153,283,703,336,180,344,552,578,536,440,471,353,284,567,555,306,651,307,511
ENSG00000164163,2274,3401,1415,1870,5746,2249,3859,516,849,1120,2450,2663,711,1164,3958,2813,856,3360,3791,8416,6198,6631,7631,5025,1462,4436,4235,3244,6950,5716,10300
ENSG00000164164,872,3816,824,663,1429,897,2189,412,498,294,1054,2180,299,1629,2491,1539,835,3896,4084,5091,7574,3571,3998,2478,1364,2401,2419,1922,3966,2603,3857
ENSG00000164167,1592,458,451,865,1227,996,1542,565,654,437,2512,836,472,674,737,767,304,521,733,1164,971,560,793,469,737,1046,1184,464,770,685,1081
ENSG00000164168,1415,1261,975,1123,868,760,1726,750,388,519,1315,1152,397,904,2589,1363,712,2246,3337,2279,7030,3134,1753,2239,1210,2169,1888,1794,4702,2170,2169
ENSG00000164169,187,357,107,271,810,107,603,89,67,68,328,196,91,117,390,740,308,461,4821,715,550,693,738,505,100,654,438,276,773,618,656
ENSG00000164171,56,2731,64,10,1403,74,5852,59,776,200,343,56,1487,22,1652,2233,249,8482,13742,1519,4146,3372,1121,12,7178,2904,1407,6,628,402,237
ENSG00000164172,1721,1604,3000,607,1810,829,1836,1659,1193,1111,2832,522,1069,544,1205,2673,1225,1506,2040,2302,1161,2744,1427,617,2111,1739,2426,1050,3209,1381,2831
ENSG00000164176,111,2013,70,0,68,5,30,0,5,4,31,11,1116,16,403,5281,0,1,0,0,201,35,6407,0,1,1989,4923,14,0,15,187
ENSG00000164180,139,669,164,131,254,159,626,232,94,67,333,250,133,134,1722,296,371,980,884,2015,4020,3500,774,1045,220,1870,2320,1010,3169,810,1531
ENSG00000164181,491,747,198,159,386,197,1435,461,43,146,326,379,189,544,189,1154,1804,7294,6874,7321,6025,7199,722,654,760,1938,2040,3345,7041,1345,597
