level,id,subtype,n,spearman,pearson,p_value,q_value,inference_note
per_gene,IL4I1,NA,30,0.6645,0.5996,6.203e-5,4.657e-4,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IL4R,NA,13,0.533,0.7403,0.06074,0.1088,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IL6ST,NA,30,0.123,0.0781,0.5172,0.6014,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IL7,NA,30,0.1093,0.0813,0.5654,0.644,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ILF2,NA,30,0.0443,0.1023,0.8163,0.8584,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ILF3,NA,30,0.3219,0.2951,0.08278,0.139,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ILK,NA,30,0.4705,0.4821,0.00869,0.02292,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ILKAP,NA,30,0.4278,0.4541,0.01836,0.04152,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ILVBL,NA,30,0.8251,0.8675,2.029e-8,1.101e-6,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IMMT,NA,30,0.0865,0.0287,0.6493,0.7188,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IMP3,NA,30,0.2974,0.3461,0.1104,0.175,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IMP4,NA,30,0.1662,0.2137,0.3801,0.4739,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IMPA1,NA,30,0.5795,0.4648,7.905e-4,0.003399,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IMPA2,NA,30,0.6334,0.6592,1.721e-4,0.001039,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IMPACT,NA,30,0.7695,0.7509,6.692e-7,1.461e-5,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IMPAD1,NA,30,0.2102,0.3674,0.2648,0.3564,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IMPDH1,NA,30,0.6779,0.735,3.862e-5,3.228e-4,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IMPDH2,NA,30,0.4078,0.4239,0.02529,0.05364,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,INA,NA,30,0.5604,0.7093,0.001278,0.00496,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,INAVA,NA,26,0.8003,0.7502,9.179e-7,1.853e-5,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,INCENP,NA,30,0.3459,0.4039,0.06113,0.1094,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,INF2,NA,30,0.8158,0.7564,3.954e-8,1.774e-6,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ING1,NA,30,0.0278,0.1327,0.884,0.9124,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
