gene,n_paired,rna_min,rna_max,rna_range,rna_iqr,rna_sd,prot_min,prot_max,prot_range,prot_iqr,prot_sd,range_ratio_floor_sensitive,range_ratio,iqr_ratio,sd_ratio,complete30,rna_n_zero_lines,rna_has_zero,concord_spearman,is_adc_target
ABHD16A,30,4.426042430883431,8.16933676332069,3.7432943324372587,0.5590925576505716,0.7125416594552808,12.64835839368324,14.30727156494215,1.6589131712589094,0.1748019235888627,0.29534694669999767,0.44316931128917963,0.44316931128917963,0.3126529251675579,0.4144977950142348,TRUE,0,FALSE,0.3771,FALSE
ABHD17B,30,1.3487746029531253,4.492306351963644,3.143531749010519,1.2397758157506695,0.7446951099288014,9.2787099598645,10.1900472791409,0.9113373192764005,0.27665776288261945,0.21202925750631166,0.28990873706405534,0.28990873706405534,0.22315144348505175,0.2847195512356504,TRUE,0,FALSE,0.3855,FALSE
ABHD3,19,0.2416288574907874,6.376489532085563,6.134860674594775,2.0813462992144913,1.427770675452366,8.941985123181944,9.817449481166925,0.8754643579849812,0.2858581719696893,0.23997476548585278,0.1427032176313944,0.1427032176313944,0.13734291697521617,0.16807654731374888,FALSE,0,FALSE,0.3509,FALSE
ABHD6,30,0.7004049154778689,3.9321537942309597,3.231748878753091,0.8792087138401721,0.8220394450294959,8.424897877897928,9.49306243644184,1.068164558543911,0.32607430646442737,0.231177379345814,0.3305221409888884,0.3305221409888884,0.3708724689956873,0.28122419276062727,TRUE,0,FALSE,0.3326,FALSE
ABI1,30,2.7823361349010574,6.135729455481281,3.3533933205802233,1.2210120433185612,0.887768581411527,11.66365856166837,12.73138200904213,1.0677234473737602,0.3236002297401672,0.2579266580929454,0.3184008988212026,0.3184008988212026,0.26502623910298334,0.29053366326937285,TRUE,0,FALSE,0.1333,FALSE
ABI2,30,3.3316337248034564,7.233150580103068,3.9015168552996116,1.1539572048582967,0.907412978893412,10.63101166709477,11.615987713046,0.98497604595123,0.3002981451589015,0.26008023491408905,0.252459769490241,0.252459769490241,0.2602333465180604,0.286617274563624,TRUE,0,FALSE,0.6703,FALSE
ABL1,30,2.64852756731349,6.747100685208367,4.098573117894877,1.412177968590143,0.9062876506946688,9.613364166196344,11.82544300924683,2.2120788430504863,0.4365294859058988,0.4110546011766018,0.5397192582443574,0.5397192582443574,0.3091178984626922,0.4535586475900105,TRUE,0,FALSE,0.3495,FALSE
ABL2,11,1.2620229633812814,6.14171090163211,4.879687938250829,0.6985160482356481,1.2774470418619177,6.34614125055515,8.27965975835768,1.9335185078025292,0.7998849335885589,0.5750927800802865,0.3962381472483295,0.3962381472483295,1.1451203384789144,0.4501891360146495,FALSE,0,FALSE,0.5364,FALSE
ABLIM1,30,0.18567070598522284,8.323607932892813,8.13793722690759,2.5492675136549714,1.9648380750061556,12.6170075693494,14.7488637917337,2.1318562223843003,0.76238036150189,0.5253409825060179,0.2619651839209878,0.2619651839209878,0.29905859523108247,0.2673711331171003,TRUE,0,FALSE,0.8959,FALSE
ABR,30,2.6064000837643606,6.936723903730495,4.330323819966134,1.147771068419586,1.1451881676906284,11.20770244397372,12.82060518887475,1.6129027449010298,0.5146082146898969,0.3657618416769447,0.3724670052304873,0.3724670052304873,0.44835440520249603,0.31939016835507067,TRUE,0,FALSE,0.5737,FALSE
ABRAXAS1,30,0.6877861546302211,4.430335927011803,3.7425497723815817,1.8327916412883478,1.1598226000399314,10.03647278427325,11.10562883820675,1.069156053933499,0.3251058419892505,0.23203755910713564,0.2856758410598608,0.2856758410598608,0.17738287029764044,0.2000629743713796,TRUE,0,FALSE,-0.2761,FALSE
ABRAXAS2,30,1.4689481801800506,4.048663419636694,2.579715239456643,1.3418912098773084,0.8039675234710218,11.21522400795853,11.96257709597347,0.7473530880149397,0.27782098601374017,0.18454878753984563,0.28970371480704676,0.28970371480704676,0.2070368923864863,0.2295475652338306,TRUE,0,FALSE,0.4852,FALSE
ABT1,30,3.198736154077846,5.911406369778412,2.712670215700566,0.8560988693415874,0.6746181157890812,12.07885415494375,12.96791048429871,0.8890563293549594,0.25414696084925126,0.21139488778491525,0.3277421354830463,0.3277421354830463,0.29686636666710214,0.31335489343871653,TRUE,0,FALSE,0.6445,FALSE
ABTB2,13,0.6034181665036303,4.984215641214985,4.380797474711355,1.6948107458848627,1.3139180138476554,8.51234969336032,9.4842683348178909,0.9719186414575702,0.36986634208241576,0.29214902661622916,0.22185883895981945,0.22185883895981945,0.21823459815821977,0.22234951004340436,FALSE,0,FALSE,0.8571,FALSE
ACAA1,30,3.4142600198121267,7.26761010599832,3.853350086186193,1.3129636571509593,0.9553447966077664,13.32889745525397,14.6910309026253,1.3621334473713311,0.5439963551297158,0.3598522699476523,0.3534933024264832,0.3534933024264832,0.4143270471858683,0.376672664388202,TRUE,0,FALSE,0.7753,FALSE
ACAA2,30,3.6609238264307447,7.160899086555194,3.499975260124449,1.0000775887635314,0.9182970491848645,14.16637224387914,15.62718615093136,1.46081390705222,0.46264714880948254,0.35333497846918316,0.41737835226877507,0.41737835226877507,0.46261125537418235,0.3847719850377658,TRUE,0,FALSE,0.6396,FALSE
ACACA,30,3.321073189432678,6.220162712586172,2.8990895231534934,1.021845327094204,0.7319996199981126,13.7406595685402,14.64732307561014,0.9066635070699398,0.2774949937583209,0.2213538718338658,0.31274077596738503,0.31274077596738503,0.2715626195085967,0.30239615675543186,TRUE,0,FALSE,0.3188,FALSE
