source_id,path,role,size_bytes,sha256,archive_member_sha256,archive_member_checksum_verified
CNVC028,models/OV3291_P46.antitargetcoverage.cnn,baseline_models antitarget primary bin depth,1745735,fd882a1a054ae1041590012f072085f743e28546e8c8a945a01b00fee2aea58a,fd882a1a054ae1041590012f072085f743e28546e8c8a945a01b00fee2aea58a,True
CNVC029,models/OV3331_P54.targetcoverage.cnn,baseline_models target primary bin depth,18501230,07822d8a3d34205b3a42cd5a8634e0247f1a6ba8a37fc6ffff6275dd84cb1bdf,07822d8a3d34205b3a42cd5a8634e0247f1a6ba8a37fc6ffff6275dd84cb1bdf,True
CNVC030,models/OV3331_P54.antitargetcoverage.cnn,baseline_models antitarget primary bin depth,1745730,f4065890a1315a124138b79fb2fd8d56a11f311e41456ed94c04c439c56286cc,f4065890a1315a124138b79fb2fd8d56a11f311e41456ed94c04c439c56286cc,True
CNVC031,models/OV90_P63.targetcoverage.cnn,baseline_models target primary bin depth,18502159,29100f7de5be32f5ce9451a1228f0792089437742259dbecc690cdae90172aa3,29100f7de5be32f5ce9451a1228f0792089437742259dbecc690cdae90172aa3,True
CNVC032,models/OV90_P63.antitargetcoverage.cnn,baseline_models antitarget primary bin depth,1745731,ec1137448e506cd47bb883a78e2db3b6eb61c9b0c14b8daaaf5975dd31da93f1,ec1137448e506cd47bb883a78e2db3b6eb61c9b0c14b8daaaf5975dd31da93f1,True
CNVC033,models/TOV112D_P83.targetcoverage.cnn,baseline_models target primary bin depth,18502080,175d943434f76c7f05d3a197bf283aa9367b299f5348bb7c8a87265a0611447f,175d943434f76c7f05d3a197bf283aa9367b299f5348bb7c8a87265a0611447f,True
CNVC034,models/TOV112D_P83.antitargetcoverage.cnn,baseline_models antitarget primary bin depth,1745734,84a289656fbf03850ddd2a44dc184630a662f59d9f28de4a0c889a57e6f05fd1,84a289656fbf03850ddd2a44dc184630a662f59d9f28de4a0c889a57e6f05fd1,True
CNVC035,models/TOV1369_P65.targetcoverage.cnn,baseline_models target primary bin depth,18499888,74244528aa46587f333c50d36f649deba628c1239edcaef8e849b931e99c9009,74244528aa46587f333c50d36f649deba628c1239edcaef8e849b931e99c9009,True
CNVC036,models/TOV1369_P65.antitargetcoverage.cnn,baseline_models antitarget primary bin depth,1745733,dd4845e45755072b747567bba95e8c7e3d7d0ea749c6e0726ec057620d1a3158,dd4845e45755072b747567bba95e8c7e3d7d0ea749c6e0726ec057620d1a3158,True
CNVC037,models/TOV21G_P59.targetcoverage.cnn,baseline_models target primary bin depth,18502985,fdc8f11e44bf95c79eadb9595bbca7becbbe19c5685700d41c14b5b62fc1dc09,fdc8f11e44bf95c79eadb9595bbca7becbbe19c5685700d41c14b5b62fc1dc09,True
