protein,OV1369-R2,OV1946,OV2085,OV2295,OV2295-R2,OV3133-R,OV3331,OV4453,OV4485,OV866-2,OV90,TOV1369,TOV3041G,TOV3133G,TOV3291G,TOV21G,TOV3392D,VOA10816,VOA12539,VOA14993,VOA295,VOA4841,TOV112D,VOA4395,TOV2414,VOA8762,VOA8771,VOA5217,VOA5436,BIN67,COV434
MBLAC1,8.092728956863194,NA,7.468506431780117,NA,NA,7.613052038917137,NA,NA,8.451588245471598,7.516206405987469,NA,8.249246514236054,NA,NA,8.449104747738335,NA,8.012219264257826,9.377975099815142,7.804501265360809,NA,7.800063483319734,NA,NA,7.631918964679425,NA,NA,NA,NA,NA,NA,7.988264689951272
MTMR11,9.248042374847754,10.19061058416521,9.755336644877985,11.22956650341238,10.79355680414811,12.86590432654781,10.82031085945621,10.55670216369401,11.59257666956978,10.42059142949504,11.78706496272299,11.94622731260311,10.76151304801897,11.73435990814903,10.218501927183,10.27547949811204,9.830964123075372,10.26955341894829,8.77223901788032,10.60834313491317,12.34728256751447,11.44712328143666,9.613394808757716,8.802432194884702,12.29651632096099,12.02832479726421,11.78368220034905,9.402570340037714,12.05422639996806,11.03206743425573,8.62216095339928
POTEF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VPS37C,9.855897400857327,9.851301751136035,9.815537315348466,9.26378632696664,9.4822133621157,9.462510900661117,9.433345202457893,9.455724899795223,9.886206581789473,9.793424912351158,9.657708558174386,9.510313444036862,10.02502246832695,9.771790829350934,9.877483866110863,9.496073518067043,9.203287204180626,9.687466483206538,9.29078758437751,9.263127337790365,9.633295331979113,9.470475210891093,9.935391586375582,9.886921689655102,9.302182342939952,10.08666332047645,10.19868931617566,9.650115359093808,9.695522473645905,10.02328431757481,10.15350260600035
TMEM189,9.97325352239748,9.790144267279285,10.29363310096262,10.14387930173693,10.02181651921305,10.06813890405849,9.986772233340615,9.546041571493381,9.728629688912275,10.42404199606614,9.758749054162937,9.938682134286394,9.57898814284811,10.46582245663642,9.700170796443224,9.645884979525244,9.896475489000617,10.6668907985963,10.02360045454453,9.88164038136232,10.0283179410861,9.67663386493185,9.882903587688835,10.78483349940355,9.780800971417728,10.50556961191101,10.04825126652748,10.23763144257004,10.19055298437323,10.79083619308207,9.94917665451671
TRAPPC13,11.30090798641937,11.66955882951933,11.38578746150316,11.4983044147521,11.44704404554744,11.35943339435814,11.31028227358775,11.35229872119267,11.47912543284231,11.41145142509837,11.61053113578609,11.53988431357607,11.54620598703172,11.54932377552625,11.56118346084151,11.72399295463895,11.55917715101559,11.10600275367593,11.38094413768916,11.50949031007998,11.70499399127293,11.17595855425374,11.46451080093521,11.34782908773322,12.25484136843124,11.3224491889108,11.26063606731977,11.37114298068569,11.53405068135715,11.54770729535062,11.33988928925248
CNOT1,14.25640221792003,14.1884884512057,14.27479603759377,14.11722033906866,14.13104495826797,14.13259178159763,14.37178697005778,13.97694101693557,14.14294117634553,14.1935112904217,14.47991840192055,14.24796684593636,14.03697442004261,14.11213738390535,14.26032074731105,14.15695647690034,14.08968702478883,14.22352843899841,14.71411954121224,14.4332008738576,14.3107811777455,13.9160262945099,14.35030230636605,14.35331759644223,13.988488070483,14.32462679427794,14.22548018927171,14.28948898682295,14.36953371995537,14.38477227666919,14.35799800854021
C2orf72,10.68092535865064,10.50424861365926,NA,10.69492490672487,NA,10.57353024335176,10.83995600135397,11.01835621323926,NA,10.87704043177989,10.69049268972441,NA,NA,10.71977335642791,NA,10.54600103484691,11.71366672683593,10.98444112472029,NA,NA,NA,NA,10.50775057775203,10.89556063108259,10.57378229726995,12.00043485187074,11.56235271102941,10.78821037031208,10.51872127511899,NA,10.97732838493129
FAM83G,NA,NA,7.883731688696812,NA,7.589778542864218,NA,NA,NA,7.89181638740696,NA,NA,7.78899208414605,7.887130623698487,NA,8.16385785863045,NA,NA,NA,8.457549874960158,7.990316140823976,8.08880808122275,7.706465039372368,NA,NA,NA,NA,NA,NA,NA,8.217470480615821,NA
PALM3,9.665445588942104,NA,9.934077029053881,NA,NA,10.01424671696564,10.84201241459945,9.589213101203988,10.14420830972269,9.916925881260038,NA,9.761445392371346,NA,9.873473596501116,9.01349275191645,NA,10.40124291199748,9.972908656582113,8.953114189058624,NA,9.945735683836892,NA,10.31638316302811,9.479659429673537,NA,11.11986615876102,NA,9.264488214439625,NA,NA,10.65771493064993
PGP,13.20274341720441,12.93865595224692,13.32991206887452,12.76115150080032,12.62843736332081,12.72147152800244,12.49666518733527,12.72675402373826,12.67244430031189,12.70389817410429,13.12763814366341,12.72271954702878,13.03053839827889,12.80914449053889,12.33312704681386,13.21567833607178,12.86847159565771,13.26392593883568,13.37865555456304,12.93117968682131,13.32592130734002,13.07455636199388,13.27346404717871,13.35921328124729,12.58237859790505,12.99932095474672,13.2049361819616,13.07360779809487,12.72226384617166,13.45360852557062,13.10871456588555
C5orf51,10.3492671179442,10.5049103218523,10.19783552088482,10.20924427174179,9.508359688568792,10.21376488270483,10.46204647486553,10.59477144316207,10.05609739866753,10.3269698053475,10.59331344146529,10.24081842295965,9.529291304220877,10.23297682510117,10.91256288107617,10.63039972903889,10.22723579081087,10.50810991570764,10.810593200955,10.00662233212809,10.20343267832696,10.89323994583461,10.6196772334475,10.65918590061185,10.31921116383096,10.1517958117591,10.13881897139553,10.8236914879847,10.49363803802379,11.12785656604723,10.92639240253885
RCCD1,NA,NA,9.200534707660227,NA,NA,NA,NA,NA,9.25575584141281,NA,NA,9.191842324789999,NA,NA,9.491322954438528,NA,NA,NA,9.249532256982857,NA,9.486655618277426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PLEKHD1,10.69570213564945,9.04913361922192,9.130198691502788,8.965333085907984,NA,9.565221489482472,NA,NA,9.16595520524941,9.374514848531792,9.243174364324505,9.0430258819147,NA,NA,8.875362188331648,8.786574814276264,8.920590687638466,9.831884360137654,8.813691412523532,NA,9.06776199452034,NA,NA,9.731352275519008,9.030417271536006,NA,9.307664003141792,NA,9.169164740924282,NA,9.28588291023803
ZNF316,9.061762421449941,9.50197373467904,10.02929200963158,9.598859455764838,9.850712712433504,9.572919165010262,9.922949856960143,9.747402833181036,9.671470819361993,10.12667555802604,9.274892590562143,9.722877359557689,9.661874812293073,9.997582450446124,10.00718714461217,9.827076737146502,10.67434622943565,9.170177217852295,9.804227898837592,9.927879012200403,9.717540213879817,9.226198236976002,9.28640375752827,9.427683392814178,10.39063872912469,9.351733164148257,9.779484052265769,9.772069127514039,9.557098101591354,9.728999901146908,9.395911645712738
TUBAL3,6.442855360865504,5.99960515849816,6.127336650378391,6.19376565019897,7.042907227882012,6.549070129457974,6.022537636278819,7.049792538525634,6.22129843663797,6.670616493861885,6.491946918412838,6.028926611373613,6.575653049461943,6.700211784869834,7.049917014926661,6.107094851209913,6.340302381016524,6.307469383869027,6.088859647575521,6.059668360145517,5.764933480340455,6.195623963220253,6.832806057339738,6.525239735998144,5.876444401116535,5.891207885230944,5.598825540139059,6.339529259151652,5.85229451718618,6.495889052221887,6.525889993497195
