row,symbol,uniprot,symbol_representative,n_peptides,n_unique_peptides,npeptides_quant,qvalue,cv_replicates,isoDoping,present_n_lines,present_n_plex,pass_presence50,complete_case,zero_plex
PCGF2,PCGF2,P35227,TRUE,4,2,2,0,19.93485874352269,FALSE,20,3,TRUE,FALSE,FALSE
PHB,PHB,P35232,TRUE,32,32,32,0,5.173467171841483,FALSE,31,5,TRUE,TRUE,FALSE
SERPINB6,SERPINB6,P35237,TRUE,27,26,26,0,5.110011294840608,FALSE,31,5,TRUE,TRUE,FALSE
NF2,NF2,P35240,TRUE,25,23,23,0,3.400822315125761,FALSE,31,5,TRUE,TRUE,FALSE
RDX,RDX,P35241,TRUE,85,53,53,0,1.938912226741997,FALSE,31,5,TRUE,TRUE,FALSE
RPA3,RPA3,P35244,TRUE,8,8,8,0,5.217283886041448,FALSE,31,5,TRUE,TRUE,FALSE
RFC4,RFC4,P35249,TRUE,34,34,34,0,5.164507450989483,FALSE,31,5,TRUE,TRUE,FALSE
RFC2,RFC2,P35250,TRUE,27,27,27,0,1.151483570547533,FALSE,31,5,TRUE,TRUE,FALSE
RFC1,RFC1,P35251,TRUE,56,56,56,0,3.899856866835462,FALSE,31,5,TRUE,TRUE,FALSE
RPL22,RPL22,P35268,TRUE,14,12,12,0,1.78918742585513,FALSE,31,5,TRUE,TRUE,FALSE
GTF2F1,GTF2F1,P35269,TRUE,28,28,28,0,6.709480380296933,FALSE,31,5,TRUE,TRUE,FALSE
SPR,SPR,P35270,TRUE,16,16,16,0,7.606832511766337,FALSE,31,5,TRUE,TRUE,FALSE
PTGS2,PTGS2,P35354,TRUE,4,4,4,0,NA,FALSE,14,2,FALSE,FALSE,FALSE
THBS2,THBS2,P35442,TRUE,3,1,1,0,NA,FALSE,7,1,FALSE,FALSE,FALSE
IDUA,IDUA,P35475,TRUE,11,11,11,0,2.798288515214951,FALSE,31,5,TRUE,TRUE,FALSE
KRT9,KRT9,P35527,TRUE,24,23,2,0,23.02002862474927,FALSE,31,5,TRUE,TRUE,FALSE
FBN1,FBN1,P35555,TRUE,106,99,99,0,9.140928242075196,FALSE,31,5,TRUE,TRUE,FALSE
FBN2,FBN2,P35556,TRUE,94,87,88,0,32.8377396563059,FALSE,31,5,TRUE,TRUE,FALSE
PCK1,PCK1,P35558,TRUE,7,4,4,0,17.81600316486006,TRUE,31,5,TRUE,TRUE,FALSE
IRS1,IRS1,P35568,TRUE,3,3,3,0,6.97758784093226,FALSE,31,5,TRUE,TRUE,FALSE
AGL,AGL,P35573,TRUE,37,37,37,0,5.705309576670142,FALSE,31,5,TRUE,TRUE,FALSE
MYH9,MYH9,P35579,TRUE,320,271,272,0,0.9830974010441864,FALSE,31,5,TRUE,TRUE,FALSE
MYH10,MYH10,P35580,TRUE,251,202,202,0,2.134025148473655,FALSE,31,5,TRUE,TRUE,FALSE
TIE1,TIE1,P35590,TRUE,5,5,5,0,NA,FALSE,6,1,FALSE,FALSE,FALSE
COPB2,COPB2,P35606,TRUE,67,67,67,0,2.848843909958139,FALSE,31,5,TRUE,TRUE,FALSE
ACTN2,ACTN2,P35609,TRUE,27,2,3,0,25.67829026831458,FALSE,31,5,TRUE,TRUE,FALSE
SOAT1,SOAT1,P35610,TRUE,12,12,12,0,5.555479365591323,FALSE,31,5,TRUE,TRUE,FALSE
ADD1,ADD1,P35611,TRUE,33,32,32,0,1.728991561583891,FALSE,31,5,TRUE,TRUE,FALSE
ADD2,ADD2,P35612,TRUE,15,14,14,0,3.714862529266434,FALSE,31,5,TRUE,TRUE,FALSE
BSG,BSG,P35613,TRUE,16,16,16,0,6.350121641032958,FALSE,31,5,TRUE,TRUE,FALSE
TIMP3,TIMP3,P35625,TRUE,8,8,8,0,6.274362761368089,FALSE,31,5,TRUE,TRUE,FALSE
FUS,FUS,P35637,TRUE,26,23,23,0,3.049358889503614,FALSE,31,5,TRUE,TRUE,FALSE
NUP214,NUP214,P35658,TRUE,61,61,61,0,2.704649690264127,FALSE,31,5,TRUE,TRUE,FALSE
DEK,DEK,P35659,TRUE,42,42,42,0,4.558226506964532,FALSE,31,5,TRUE,TRUE,FALSE
ATP7B,ATP7B,P35670,TRUE,17,16,16,0,7.560570350096002,FALSE,31,5,TRUE,TRUE,FALSE
HNF1B,HNF1B,P35680,TRUE,12,12,12,0,11.32190108051993,TRUE,31,5,TRUE,TRUE,FALSE
SOX5,SOX5,P35711,TRUE,5,1,1,0,17.13787568069109,FALSE,20,3,TRUE,FALSE,FALSE
SOX6,SOX6,P35712,TRUE,10,6,6,0,11.07368441078869,FALSE,13,2,FALSE,FALSE,FALSE
MYH11,MYH11,P35749,TRUE,44,1,1,0,9.892050304051716,FALSE,13,2,FALSE,FALSE,FALSE
GLRX,GLRX,P35754,TRUE,7,7,7,0,5.391397163363458,FALSE,31,5,TRUE,TRUE,FALSE
CHKA,CHKA,P35790,TRUE,3,3,3,0,6.090304220223108,FALSE,31,5,TRUE,TRUE,FALSE
PPM1A,PPM1A,P35813,TRUE,17,14,14,0,5.416529854964875,FALSE,31,5,TRUE,TRUE,FALSE
AHR,AHR,P35869,TRUE,4,4,4,0,8.223313895971648,FALSE,31,5,TRUE,TRUE,FALSE
KRT20,KRT20,P35900,TRUE,51,44,44,0,32.27873041457299,FALSE,31,5,TRUE,TRUE,FALSE
KRT2,KRT2,P35908,TRUE,38,25,1,0,NA,FALSE,12,2,FALSE,FALSE,FALSE
HMGCL,HMGCL,P35914,TRUE,24,24,24,0,5.347013539954872,FALSE,31,5,TRUE,TRUE,FALSE
PSMC2,PSMC2,P35998,TRUE,55,55,55,0,3.177052816847045,FALSE,31,5,TRUE,TRUE,FALSE
ARL2,ARL2,P36404,TRUE,13,13,13,0,2.274102305603381,FALSE,31,5,TRUE,TRUE,FALSE
ARL3,ARL3,P36405,TRUE,14,14,14,0,6.752522117834966,FALSE,31,5,TRUE,TRUE,FALSE
MAP2K2,MAP2K2,P36507,TRUE,22,13,13,0,4.803347971018329,FALSE,31,5,TRUE,TRUE,FALSE
ATP5F1C,ATP5F1C,P36542,TRUE,25,24,24,0,6.844829057359858,FALSE,31,5,TRUE,TRUE,FALSE
ATP6V1E1,ATP6V1E1,P36543,TRUE,24,24,24,0,1.527268509741657,FALSE,31,5,TRUE,TRUE,FALSE
CPOX,CPOX,P36551,TRUE,33,33,33,0,5.688259383885696,FALSE,31,5,TRUE,TRUE,FALSE
ARR3,ARR3,P36575,TRUE,2,1,1,0.004,11.49917782894195,FALSE,13,2,FALSE,FALSE,FALSE
RPL4,RPL4,P36578,TRUE,70,69,69,0,1.212568772517564,FALSE,31,5,TRUE,TRUE,FALSE
NUDT1,NUDT1,P36639,TRUE,5,5,5,0,11.52471837272993,FALSE,31,5,TRUE,TRUE,FALSE
LONP1,LONP1,P36776,TRUE,67,66,66,0,2.578124955695027,FALSE,31,5,TRUE,TRUE,FALSE
PGM1,PGM1,P36871,TRUE,45,45,45,0,6.09359284701577,FALSE,31,5,TRUE,TRUE,FALSE
PPP1CC,PPP1CC,P36873,TRUE,20,6,6,0,11.46388360236744,FALSE,31,5,TRUE,TRUE,FALSE
BMPR1A,BMPR1A,P36894,TRUE,3,3,3,0,12.48023238916199,FALSE,31,5,TRUE,TRUE,FALSE
ACVR1B,ACVR1B,P36896,TRUE,6,5,5,0,31.36198202749432,FALSE,13,2,FALSE,FALSE,FALSE
TGFBR1,TGFBR1,P36897,TRUE,2,1,1,0.002,13.23992619431449,FALSE,25,4,TRUE,FALSE,FALSE
GNL1,GNL1,P36915,TRUE,21,21,21,0,2.615467898839218,FALSE,31,5,TRUE,TRUE,FALSE
LTBR,LTBR,P36941,TRUE,2,2,2,0.001,10.17950903607105,FALSE,31,5,TRUE,TRUE,FALSE
SERPINB5,SERPINB5,P36952,TRUE,18,18,18,0,5.473166725753332,FALSE,31,5,TRUE,TRUE,FALSE
POLR2I,POLR2I,P36954,TRUE,9,9,9,0,10.75862279402557,FALSE,31,5,TRUE,TRUE,FALSE
SERPINF1,SERPINF1,P36955,TRUE,3,3,3,0,2.661511086611381,FALSE,18,3,TRUE,FALSE,FALSE
SREBF1,SREBF1,P36956,TRUE,4,4,4,0,6.686794735507918,FALSE,25,4,TRUE,FALSE,FALSE
DLST,DLST,P36957,TRUE,35,35,35,0,4.208254750061037,FALSE,31,5,TRUE,TRUE,FALSE
GMPR,GMPR,P36959,TRUE,5,3,3,0,4.548830201939938,FALSE,24,4,TRUE,FALSE,FALSE
GPX4,GPX4,P36969,TRUE,15,15,15,0,6.089033564184062,FALSE,31,5,TRUE,TRUE,FALSE
HSD17B2,HSD17B2,P37059,TRUE,12,12,12,0,9.022891516889498,FALSE,20,3,TRUE,FALSE,FALSE
SRP14,SRP14,P37108,TRUE,19,19,19,0,1.14194850653542,FALSE,31,5,TRUE,TRUE,FALSE
TGFBR2,TGFBR2,P37173,TRUE,21,21,21,0,3.581533360836664,FALSE,31,5,TRUE,TRUE,FALSE
NUP62,NUP62,P37198,TRUE,15,15,15,0,6.913281462172568,FALSE,31,5,TRUE,TRUE,FALSE
HPCAL1,HPCAL1,P37235,TRUE,12,6,6,0,8.501585830341146,FALSE,31,5,TRUE,TRUE,FALSE
FDFT1,FDFT1,P37268,TRUE,26,26,26,0,6.06526734742364,FALSE,31,5,TRUE,TRUE,FALSE
