pathway,pval,padj,log2err,ES,NES,size,leadingEdge,subtype,n_group,evidence,go_id,term
GO:0006085 acetyl-CoA biosynthetic process,0.6235468321728994,0.837658335961316,0.007971061951552528,-0.3085171473830736,-0.8879928670719047,20,TPK1;PDHA1;PDK1;PDK3;MPC2;DIP2A;PDK4;PGK1;ACAT1;PDK2;DLD;PDHB,MC,3,"descriptive; model-level, source-confounded",GO:0006085,acetyl-CoA biosynthetic process
GO:0006740 NADPH regeneration,0.6233608092918697,0.837658335961316,0.007913692920510435,-0.3013124488564986,-0.8876593956925763,22,RBKS;MTOR;PGD;PRPS2;ALDH1L2;TIGAR;ACACB;TALDO1,MC,3,"descriptive; model-level, source-confounded",GO:0006740,NADPH regeneration
GO:0009125 nucleoside monophosphate catabolic process,0.6231466359240401,0.837658335961316,0.008083164595243284,-0.31978829920531104,-0.8846006157261326,17,ADA;UPP1;DNPH1;GDA;PNP;XDH;NT5C2;HPRT1,MC,3,"descriptive; model-level, source-confounded",GO:0009125,nucleoside monophosphate catabolic process
GO:0010389 regulation of G2/M transition of mitotic cell cycle,0.6234288849983015,0.837658335961316,0.006753868654664617,-0.2296943438227398,-0.9190599550542845,105,RAD17;MIIP;IER3;GPR132;RCC2;CDK4;HUS1B;BRSK1;FOXN3;SMARCD3;HSPA2;INIP;BRD4;UIMC1;ORC1;SYF2;KCNH5;MBTPS2;NABP2;CDC25B;HUS1;RRM2B;CDC7;MTA3;DTL;ABRAXAS1;MRNIP;CCNG1;INTS3;PKMYT1;RINT1;BABAM1;RAD51C;CDC6;ATR;CDC25A;CLSPN,MC,3,"descriptive; model-level, source-confounded",GO:0010389,regulation of G2/M transition of mitotic cell cycle
GO:0030218 erythrocyte differentiation,0.6231670061099797,0.837658335961316,0.0065882443141738025,-0.22431709709151024,-0.9241454456705409,131,TRIM58;RHEX;HSPA1B;HSPA9;DYRK3;GATA2;KCNQ1;LDB1;HCLS1;PKNOX1;IKZF1;ARNT;RPS6;MFHAS1;SPI1;SLC48A1;CHMP5;ADAR;ZNF16;KLF13;SLC11A2;KIT;ATP5IF1;HIPK2;NCAPG2;DNASE2;HSCB;SRF;ISG15;PRKDC;JMJD6;FECH;UBA5;LYN;ANKRD54;HIF1A;NEMP1;FAM210B;SFXN1;HEATR3;BAP1;MED1;TMEM14C;HSPA1A;EPO,MC,3,"descriptive; model-level, source-confounded",GO:0030218,erythrocyte differentiation
GO:0035865 cellular response to potassium ion,0.6228192783558524,0.837658335961316,0.011462143070274081,0.3128022730867827,0.8747744123703575,13,ACTA1;SLC12A2;DLG2;ABCC9,MC,3,"descriptive; model-level, source-confounded",GO:0035865,cellular response to potassium ion
GO:0045332 phospholipid translocation,0.6238256784968684,0.837658335961316,0.013268583266219368,0.23051453198966967,0.9136760916451444,49,ATP8A1;ATP10B;ABCB1;ABCA7;ATP8B3;ATP10D;ANO3;KCNN4;TMEM30B;ANO7;ANO9;ATP10A;ATP9B;VMP1;ATP11B;PLSCR4;PLSCR5;ABCB4;PLSCR3;ATG9B,MC,3,"descriptive; model-level, source-confounded",GO:0045332,phospholipid translocation
GO:0046320 regulation of fatty acid oxidation,0.6225416491249173,0.837658335961316,0.012627817481013317,0.24775718180772116,0.9024588467359612,34,FMO1;FABP1;FMO4;ACADL;FMO2;CNR1;PPARD;IRS1;LONP2;MLYCD,MC,3,"descriptive; model-level, source-confounded",GO:0046320,regulation of fatty acid oxidation
GO:0072148 epithelial cell fate commitment,0.6239956113459615,0.837658335961316,0.008124802908181664,-0.32918624729498913,-0.8823204969092384,15,PDPN;NOTCH1,MC,3,"descriptive; model-level, source-confounded",GO:0072148,epithelial cell fate commitment
GO:0090160 Golgi to lysosome transport,0.622729974245526,0.837658335961316,0.008290649502697806,-0.3589192146303146,-0.882845849909208,11,LAPTM5;AP4M1,MC,3,"descriptive; model-level, source-confounded",GO:0090160,Golgi to lysosome transport
GO:1904729 regulation of intestinal lipid absorption,0.6238587948874011,0.837658335961316,0.011295880041078163,0.3276959302762298,0.8709599915778892,11,APOA2;APOA4,MC,3,"descriptive; model-level, source-confounded",GO:1904729,regulation of intestinal lipid absorption
GO:0002424 T cell mediated immune response to tumor cell,0.6244638602065131,0.8377155821565864,0.011613458577740016,0.2948782140601751,0.8790155028498421,16,CD274;HLA-A;HLA-DRB1;AHR;SLC22A13;UFL1,MC,3,"descriptive; model-level, source-confounded",GO:0002424,T cell mediated immune response to tumor cell
GO:0003096 renal sodium ion transport,0.6242958481118297,0.8377155821565864,0.011501171653565774,0.3054775184622369,0.873964878697976,14,PON3;KLHL3,MC,3,"descriptive; model-level, source-confounded",GO:0003096,renal sodium ion transport
GO:2000321 positive regulation of T-helper 17 cell differentiation,0.6244432626470784,0.8377155821565864,0.008316472194867018,-0.36729166470074426,-0.8792194719135901,10,BRD2;BRD4,MC,3,"descriptive; model-level, source-confounded",GO:2000321,positive regulation of T-helper 17 cell differentiation
GO:0006024 glycosaminoglycan biosynthetic process,0.6250410562963936,0.8377669204863016,0.013309042602236348,0.22948608603700724,0.9133197857018063,50,SMPD3;GALNT5;EXT2;HS3ST1;CHST13;HS3ST2;IL1B;UST;HAS1;CHPF,MC,3,"descriptive; model-level, source-confounded",GO:0006024,glycosaminoglycan biosynthetic process
GO:0010882 regulation of cardiac muscle contraction by calcium ion signaling,0.6249041558043245,0.8377669204863016,0.0077800142890808105,-0.289591397307746,-0.8885573919060028,26,NOS1;TMEM38A;SLC8A1;ATP1A2,MC,3,"descriptive; model-level, source-confounded",GO:0010882,regulation of cardiac muscle contraction by calcium ion signaling
GO:0021892 cerebral cortex GABAergic interneuron differentiation,0.6252393845341082,0.8377669204863016,0.008263892433018382,-0.3582307071152607,-0.881152304460763,11,DLX2;DLX1;FEZF2;DRD2,MC,3,"descriptive; model-level, source-confounded",GO:0021892,cerebral cortex GABAergic interneuron differentiation
GO:0030048 actin filament-based movement,0.62513956084853,0.8377669204863016,0.016375888191439213,0.19726751166330686,0.9405316598746333,130,VIL1;KCNJ3;GSN;MYO1A;SCN5A;MYH7B;MYH3;KCNJ8;MYO1D;KCNE3;MYO7A;SCN9A;AKAP9;MYO6;MYO1H;SCN3B;SUN2;ABCC9;SCN3A;TRPM4;KCNE4;EPB41L5;MYO19;MYH9;KCNN2;KCNJ2;PKP2;GATA4;MYO1C,MC,3,"descriptive; model-level, source-confounded",GO:0030048,actin filament-based movement
GO:0045920 negative regulation of exocytosis,0.6248486316299346,0.8377669204863016,0.012651713292151243,0.24418617154911348,0.9037338713152098,36,CD300A;HLA-F;CEACAM1;FMR1;BCR;NCKAP1L;CD84;STXBP3;RAP1A;LGALS9;GNAI2;WDR41;ADRA2A,MC,3,"descriptive; model-level, source-confounded",GO:0045920,negative regulation of exocytosis
GO:1903322 positive regulation of protein modification by small protein conjugation or removal,0.6253287373930806,0.8377669204863016,0.006584817891175893,-0.22439254525097807,-0.9224822726887775,129,FAM107A;LAPTM5;RASD2;CRY1;SPHK1;UBQLN1;KDM1A;ARNT;DCUN1D4;GSK3B;NSMCE3;RIPK2;BMI1;AIMP2;CDKN2A;DNAJA3;MTA1;RCHY1;SPSB4;PAXIP1;PHF23;HDAC4;CDC20,MC,3,"descriptive; model-level, source-confounded",GO:1903322,positive regulation of protein modification by small protein conjugation or removal
GO:0097707 ferroptosis,0.6255499429688773,0.8378786791175646,0.008173660952273388,-0.34117131210639834,-0.8800860094743234,13,NINJ1;SLC7A11;FTH1;GPX4;HMOX1,MC,3,"descriptive; model-level, source-confounded",GO:0097707,ferroptosis
