recovered_path,basename,sha256,archived_copy_count,all_archived_copies_identical,archived_paths
cnvkit_0.9.10_manual/TOV2295_R_P57_new/TOV2295_R_P57.bintest.cns,TOV2295_R_P57.bintest.cns,56c5444889972a50ebc6839f48d226099c79786eb214bc5d710cdf82acfb9963,1,True,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2295_R_P57_new/TOV2295_R_P57.bintest.cns
cnvkit_0.9.10_manual/TOV2295_R_P57_new/TOV2295_R_P57.call.cns,TOV2295_R_P57.call.cns,b18b14f66125293cd1d74d75a1bd6450eee124d0a9bfc922eae2b6139b998ce6,1,True,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2295_R_P57_new/TOV2295_R_P57.call.cns
cnvkit_0.9.10_manual/TOV2295_R_P57_new/TOV2295_R_P57.cns,TOV2295_R_P57.cns,4f16127f4af49e1f0ac261b5b3f69efecbec3834ebd9a3016f950d789e3e4923,1,True,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2295_R_P57_new/TOV2295_R_P57.cns
cnvkit_0.9.10_manual/TOV2414_P65_new/TOV2414_P65.bintest.cns,TOV2414_P65.bintest.cns,bd6719905e39ea8a8be82d49862561a554dceecb6837e8a99087693300578318,1,True,judy_archive/data/cnvkit wes - new/All samples/TOV2414_P65_new/TOV2414_P65.bintest.cns
cnvkit_0.9.10_manual/TOV2414_P65_new/TOV2414_P65.call.cns,TOV2414_P65.call.cns,aa6001b67ebaa87553a06c52aaf8f0cb9fdb3499b7eccdff9e8a0fbdc5902afb,1,True,judy_archive/data/cnvkit wes - new/All samples/TOV2414_P65_new/TOV2414_P65.call.cns
cnvkit_0.9.10_manual/TOV2414_P65_new/TOV2414_P65.cns,TOV2414_P65.cns,22932b67e79434715631fb3d512b203f1cf7512cffb690e559c01515e24f4cc7,1,True,judy_archive/data/cnvkit wes - new/All samples/TOV2414_P65_new/TOV2414_P65.cns
cnvkit_0.9.10_manual/TOV2835EP_P64_new/TOV2835EP_P64.bintest.cns,TOV2835EP_P64.bintest.cns,96db93c404cc8dfb2ab28b05a9d079cc6d6c3c2c58eaf5d6f4507370b7420cf2,1,True,judy_archive/data/cnvkit wes - new/TOV2835EP_P64_new/TOV2835EP_P64.bintest.cns
cnvkit_0.9.10_manual/TOV2835EP_P64_new/TOV2835EP_P64.call.cns,TOV2835EP_P64.call.cns,886843473c2b73f718b834904e1dc3b94fdabb67b0c3c021fafe833f721ffa9e,1,True,judy_archive/data/cnvkit wes - new/TOV2835EP_P64_new/TOV2835EP_P64.call.cns
cnvkit_0.9.10_manual/TOV2835EP_P64_new/TOV2835EP_P64.cns,TOV2835EP_P64.cns,e21c77422908205d41e201b2ef5b23ec82cb0e9223362deab76d7af2e503396e,1,True,judy_archive/data/cnvkit wes - new/TOV2835EP_P64_new/TOV2835EP_P64.cns
cnvkit_0.9.10_manual/TOV2881EP_P64_new/TOV2881EP_P64.bintest.cns,TOV2881EP_P64.bintest.cns,5a1939f87af73c43fff82cf4c5eb4bd6aa432dcd73f98402686b344922e95c10,1,True,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2881EP_P64_new/TOV2881EP_P64.bintest.cns
cnvkit_0.9.10_manual/TOV2881EP_P64_new/TOV2881EP_P64.call.cns,TOV2881EP_P64.call.cns,c071e003ec2006344a9aa4db7490e93c27a2efaf29d2e82e65391be729f9d4aa,1,True,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2881EP_P64_new/TOV2881EP_P64.call.cns
cnvkit_0.9.10_manual/TOV2881EP_P64_new/TOV2881EP_P64.cns,TOV2881EP_P64.cns,7c8d5b300c1f366e28eafdc29f15f9ec3c2f4b9be7bff7064dccd064b2462793,1,True,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2881EP_P64_new/TOV2881EP_P64.cns
cnvkit_0.9.10_manual/TOV2929D_P57_new/TOV2929D_P57.bintest.cns,TOV2929D_P57.bintest.cns,5485ceffa2182c1b4621b23bfdf5ccc81bd6f69e796f94f0039f1a2af64c8f12,1,True,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2929D_P57_new/TOV2929D_P57.bintest.cns
cnvkit_0.9.10_manual/TOV2929D_P57_new/TOV2929D_P57.call.cns,TOV2929D_P57.call.cns,0907d048991305ad72032b8688a28b205896ffb749d8c4d1a829ad850c366132,1,True,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2929D_P57_new/TOV2929D_P57.call.cns
cnvkit_0.9.10_manual/TOV2929D_P57_new/TOV2929D_P57.cns,TOV2929D_P57.cns,2d888765435c2887e9b856b210730ac53cebc1b5da26e816dc3f61d8181f3965,1,True,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV2929D_P57_new/TOV2929D_P57.cns
cnvkit_0.9.10_manual/TOV3121D_P68_new/TOV3121D_P68.bintest.cns,TOV3121D_P68.bintest.cns,81c8faeb6510375b9d5dce903476f02a2e597daae2d9df15fc56b26c52068ed1,1,True,judy_archive/data/cnvkit wes - new/TOV3121D_P68_new/TOV3121D_P68.bintest.cns
cnvkit_0.9.10_manual/TOV3121D_P68_new/TOV3121D_P68.call.cns,TOV3121D_P68.call.cns,54b2448483721de7daf0aa0a2f3dad5be81e62f03a1c3c5c093400bb06821d40,1,True,judy_archive/data/cnvkit wes - new/TOV3121D_P68_new/TOV3121D_P68.call.cns
cnvkit_0.9.10_manual/TOV3121D_P68_new/TOV3121D_P68.cns,TOV3121D_P68.cns,01bfa6611f54fa505de5d2b78974c16499aadfd5471155825b200a2ff37f26c8,1,True,judy_archive/data/cnvkit wes - new/TOV3121D_P68_new/TOV3121D_P68.cns
cnvkit_0.9.10_manual/TOV3121EP_P68_new/TOV3121EP_P68.bintest.cns,TOV3121EP_P68.bintest.cns,24ed87aa14cae3d06ffa5b1fdd1f8f55f22a2f27e7d3b2206bf815c202ed38ba,1,True,judy_archive/data/cnvkit wes - new/TOV3121EP_P68_new/TOV3121EP_P68.bintest.cns
cnvkit_0.9.10_manual/TOV3121EP_P68_new/TOV3121EP_P68.call.cns,TOV3121EP_P68.call.cns,4c45b19fd5d65d170b139e9d249a2746562fa6e41da75830fce41b739590c310,1,True,judy_archive/data/cnvkit wes - new/TOV3121EP_P68_new/TOV3121EP_P68.call.cns
cnvkit_0.9.10_manual/TOV3121EP_P68_new/TOV3121EP_P68.cns,TOV3121EP_P68.cns,e0c6eeb2cd95a45d27672e3016e6529101c603fb4a7fe56dd434f3c749e04e3f,1,True,judy_archive/data/cnvkit wes - new/TOV3121EP_P68_new/TOV3121EP_P68.cns
cnvkit_0.9.10_manual/TOV3133D_P66_new/TOV3133D_P66.bintest.cns,TOV3133D_P66.bintest.cns,aa1f60e0e507f8cf14c1d55822eb4c022b45b80dffe0b450cb8700cdc2ba23dc,1,True,judy_archive/data/cnvkit wes - new/TOV3133D_P66_new/TOV3133D_P66.bintest.cns
cnvkit_0.9.10_manual/TOV3133D_P66_new/TOV3133D_P66.call.cns,TOV3133D_P66.call.cns,66df4c94059bda12870b7ec689da866625cd1d0bfc6df36c3b2f766fea93ad40,1,True,judy_archive/data/cnvkit wes - new/TOV3133D_P66_new/TOV3133D_P66.call.cns
cnvkit_0.9.10_manual/TOV3133D_P66_new/TOV3133D_P66.cns,TOV3133D_P66.cns,a7dc3a880aaea5f15657d0429de2fe9360eab5bdf52ba60b75445413f8444220,1,True,judy_archive/data/cnvkit wes - new/TOV3133D_P66_new/TOV3133D_P66.cns
cnvkit_0.9.10_manual/TOV3133G_P65_new/TOV3133G_P65.bintest.cns,TOV3133G_P65.bintest.cns,33346602abaf5ec0cefb75ab656a09235d5db39f8ba9ce88589b9dff7def2f7b,2,True,judy_archive/data/cnvkit wes - new/All samples/TOV3133G_P65_new/TOV3133G_P65.bintest.cns;judy_archive/data/cnvkit wes - new/HGS/TOV3133G_P65_new/TOV3133G_P65.bintest.cns
cnvkit_0.9.10_manual/TOV3133G_P65_new/TOV3133G_P65.call.cns,TOV3133G_P65.call.cns,5125fc777ec8cf52e63dc75f4b5b0c8ae558b7e6314cfbf451fa2c746c15ae6c,2,True,judy_archive/data/cnvkit wes - new/All samples/TOV3133G_P65_new/TOV3133G_P65.call.cns;judy_archive/data/cnvkit wes - new/HGS/TOV3133G_P65_new/TOV3133G_P65.call.cns
cnvkit_0.9.10_manual/TOV3133G_P65_new/TOV3133G_P65.cns,TOV3133G_P65.cns,90751440b4bbfe1b8f76d89e6195e51b8c0b132869f5d544d54cd343d4d85210,2,True,judy_archive/data/cnvkit wes - new/All samples/TOV3133G_P65_new/TOV3133G_P65.cns;judy_archive/data/cnvkit wes - new/HGS/TOV3133G_P65_new/TOV3133G_P65.cns
cnvkit_0.9.10_manual/TOV3392D_P69_new/TOV3392D_P69.bintest.cns,TOV3392D_P69.bintest.cns,8ac98a2cc1d07482d183343af3cffdf75663226b8aba8538c012d2cd720e911a,2,True,judy_archive/data/cnvkit wes - new/All samples/TOV3392D_P69_new/TOV3392D_P69.bintest.cns;judy_archive/data/cnvkit wes - new/CC/TOV3392D_P69_new/TOV3392D_P69.bintest.cns
cnvkit_0.9.10_manual/TOV3392D_P69_new/TOV3392D_P69.call.cns,TOV3392D_P69.call.cns,923843becca135b21aeb1df6f2f239d893064885bf874183ef834eb040ffbdc4,2,True,judy_archive/data/cnvkit wes - new/All samples/TOV3392D_P69_new/TOV3392D_P69.call.cns;judy_archive/data/cnvkit wes - new/CC/TOV3392D_P69_new/TOV3392D_P69.call.cns
cnvkit_0.9.10_manual/TOV3392D_P69_new/TOV3392D_P69.cns,TOV3392D_P69.cns,c5930ccf3f2243053bcda624e00569f2ea9cab925a5f8a51dc003b3ad1544256,2,True,judy_archive/data/cnvkit wes - new/All samples/TOV3392D_P69_new/TOV3392D_P69.cns;judy_archive/data/cnvkit wes - new/CC/TOV3392D_P69_new/TOV3392D_P69.cns
cnvkit_0.9.10_manual/TOV81D_P23_new/TOV81D_P23.bintest.cns,TOV81D_P23.bintest.cns,88cbe0ac06a3bd809765ff63b3c26ca2d7f96ab0e4384486ef76f3fe710ff912,1,True,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV81D_P23_new/TOV81D_P23.bintest.cns
cnvkit_0.9.10_manual/TOV81D_P23_new/TOV81D_P23.call.cns,TOV81D_P23.call.cns,8b190b894ec22e39f509fb004feecb31e647e41ab3ed771cafd249d9778c8aff,1,True,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV81D_P23_new/TOV81D_P23.call.cns
cnvkit_0.9.10_manual/TOV81D_P23_new/TOV81D_P23.cns,TOV81D_P23.cns,383202fcba6135e8008b5da566cfd6e7b535b9450bd6c42033d67c75a71eb2f6,1,True,judy_archive/data/cnvkit wes - new/20251208 - new samples/TOV81D_P23_new/TOV81D_P23.cns
