cell_line,signature,cosine,group,cosmic_source,cosmic_genome,n_snv_used
OV2295-R2,SBS93,0.44077746167733217,other,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS36,0.438054956695866,other,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS1,0.4347376929777648,clock-like (age),COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS11,0.4292340477378529,other,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS23,0.4289147928069258,other,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS9,0.4123141674442944,other,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS19,0.39270466447637165,other,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS84,0.3892709768505584,other,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS10c,0.38653779447546127,POLE proofreading,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS20,0.38354054485521905,MMR-d / MSI,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS37,0.3724964887031045,other,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS14,0.3557361597237711,MMR-d / MSI,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS86,0.3488591396687368,other,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS41,0.3355052080524719,other,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS7a,0.3324480629019405,other,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS38,0.3323664438867881,other,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS12,0.3183359948666122,other,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS26,0.3150160867303249,MMR-d / MSI,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS16,0.2761452405736583,other,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS85,0.26544865449303945,other,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS88,0.23556917940752145,other,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS10d,0.23341642716785058,POLE proofreading,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS7d,0.23254867877005617,other,COSMIC_v3.2,GRCh38,572
OV2295-R2,SBS91,0.2222021720857482,other,COSMIC_v3.2,GRCh38,572
