symbol,group,ovarian_dir,cell_line,is_mucinous_line,assay,unit,value,z,rank_low_is_lowest,n_lines_in_assay,percentile,panel_min,panel_median,panel_max,z_reference_set,note
KRT20,intestinal (shared),n/a,OV866-2,FALSE,protein,log2 TMT relative abundance,11.21245774793796,-0.29493649281639006,20,31,62.9,10.50587753198828,11.07976790315773,15.66298836985533,z per gene across all 31 protein lines (log2 TMT relative abundance),intestinal keratin; shared
KRT20,intestinal (shared),n/a,VOA14993,FALSE,protein,log2 TMT relative abundance,11.18313829254695,-0.32432274401384326,19,31,59.7,10.50587753198828,11.07976790315773,15.66298836985533,z per gene across all 31 protein lines (log2 TMT relative abundance),intestinal keratin; shared
KRT20,intestinal (shared),n/a,OV2295-R2,FALSE,protein,log2 TMT relative abundance,11.1578902406433,-0.3496283162215223,18,31,56.5,10.50587753198828,11.07976790315773,15.66298836985533,z per gene across all 31 protein lines (log2 TMT relative abundance),intestinal keratin; shared
KRT20,intestinal (shared),n/a,VOA12539,FALSE,protein,log2 TMT relative abundance,11.08867754607438,-0.41899869167803794,17,31,53.2,10.50587753198828,11.07976790315773,15.66298836985533,z per gene across all 31 protein lines (log2 TMT relative abundance),intestinal keratin; shared
KRT20,intestinal (shared),n/a,VOA5217,FALSE,protein,log2 TMT relative abundance,11.07976790315773,-0.42792863261099734,16,31,50,10.50587753198828,11.07976790315773,15.66298836985533,z per gene across all 31 protein lines (log2 TMT relative abundance),intestinal keratin; shared
KRT20,intestinal (shared),n/a,OV1369-R2,FALSE,protein,log2 TMT relative abundance,11.07889913432883,-0.42879938067565593,15,31,46.8,10.50587753198828,11.07976790315773,15.66298836985533,z per gene across all 31 protein lines (log2 TMT relative abundance),intestinal keratin; shared
KRT20,intestinal (shared),n/a,TOV3392D,FALSE,protein,log2 TMT relative abundance,11.03652041796846,-0.471274644550215,14,31,43.5,10.50587753198828,11.07976790315773,15.66298836985533,z per gene across all 31 protein lines (log2 TMT relative abundance),intestinal keratin; shared
KRT20,intestinal (shared),n/a,VOA4841,FALSE,protein,log2 TMT relative abundance,11.03218941615065,-0.47561551328933144,13,31,40.3,10.50587753198828,11.07976790315773,15.66298836985533,z per gene across all 31 protein lines (log2 TMT relative abundance),intestinal keratin; shared
KRT20,intestinal (shared),n/a,VOA295,FALSE,protein,log2 TMT relative abundance,11.03074990706657,-0.47705830187396503,12,31,37.1,10.50587753198828,11.07976790315773,15.66298836985533,z per gene across all 31 protein lines (log2 TMT relative abundance),intestinal keratin; shared
KRT20,intestinal (shared),n/a,OV4453,FALSE,protein,log2 TMT relative abundance,11.02169853878332,-0.4861302910533333,11,31,33.9,10.50587753198828,11.07976790315773,15.66298836985533,z per gene across all 31 protein lines (log2 TMT relative abundance),intestinal keratin; shared
KRT20,intestinal (shared),n/a,TOV3041G,FALSE,protein,log2 TMT relative abundance,10.990609255054,-0.5172904026254894,10,31,30.6,10.50587753198828,11.07976790315773,15.66298836985533,z per gene across all 31 protein lines (log2 TMT relative abundance),intestinal keratin; shared
KRT20,intestinal (shared),n/a,TOV3133G,FALSE,protein,log2 TMT relative abundance,10.95574319096742,-0.5522358988446633,9,31,27.4,10.50587753198828,11.07976790315773,15.66298836985533,z per gene across all 31 protein lines (log2 TMT relative abundance),intestinal keratin; shared
KRT20,intestinal (shared),n/a,COV434,FALSE,protein,log2 TMT relative abundance,10.94730139375628,-0.5606969282224656,8,31,24.2,10.50587753198828,11.07976790315773,15.66298836985533,z per gene across all 31 protein lines (log2 TMT relative abundance),intestinal keratin; shared
KRT20,intestinal (shared),n/a,TOV112D,FALSE,protein,log2 TMT relative abundance,10.90235425125502,-0.605746469645899,7,31,21,10.50587753198828,11.07976790315773,15.66298836985533,z per gene across all 31 protein lines (log2 TMT relative abundance),intestinal keratin; shared
KRT20,intestinal (shared),n/a,VOA4395,FALSE,protein,log2 TMT relative abundance,10.87549261950602,-0.6326692977688132,6,31,17.7,10.50587753198828,11.07976790315773,15.66298836985533,z per gene across all 31 protein lines (log2 TMT relative abundance),intestinal keratin; shared
KRT20,intestinal (shared),n/a,BIN67,FALSE,protein,log2 TMT relative abundance,10.87422043729195,-0.6339443782780866,5,31,14.5,10.50587753198828,11.07976790315773,15.66298836985533,z per gene across all 31 protein lines (log2 TMT relative abundance),intestinal keratin; shared
KRT20,intestinal (shared),n/a,OV3133-R,FALSE,protein,log2 TMT relative abundance,10.86104076409672,-0.6471540775051103,4,31,11.3,10.50587753198828,11.07976790315773,15.66298836985533,z per gene across all 31 protein lines (log2 TMT relative abundance),intestinal keratin; shared
KRT20,intestinal (shared),n/a,VOA10816,FALSE,protein,log2 TMT relative abundance,10.755518781278541,-0.7529164613077506,3,31,8.1,10.50587753198828,11.07976790315773,15.66298836985533,z per gene across all 31 protein lines (log2 TMT relative abundance),intestinal keratin; shared
KRT20,intestinal (shared),n/a,OV3331,FALSE,protein,log2 TMT relative abundance,10.65515874485205,-0.8535051387331419,2,31,4.8,10.50587753198828,11.07976790315773,15.66298836985533,z per gene across all 31 protein lines (log2 TMT relative abundance),intestinal keratin; shared
KRT20,intestinal (shared),n/a,OV2085,FALSE,protein,log2 TMT relative abundance,10.50587753198828,-1.0031264451923485,1,31,1.6,10.50587753198828,11.07976790315773,15.66298836985533,z per gene across all 31 protein lines (log2 TMT relative abundance),intestinal keratin; shared
KRT7,Mullerian (ovarian),high,TOV2414,TRUE,RNA,log2(TPM+1),12.506786360845545,1.0975128897055815,31,31,98.4,0,10.327567029419294,12.506786360845545,z per gene across all 31 RNA lines (log2 TPM+1),diffuse in ovarian MOC; often lost in GI
KRT7,Mullerian (ovarian),high,OV2295-R2,FALSE,RNA,log2(TPM+1),12.3608974542023,1.0638254915352845,30,31,95.2,0,10.327567029419294,12.506786360845545,z per gene across all 31 RNA lines (log2 TPM+1),diffuse in ovarian MOC; often lost in GI
KRT7,Mullerian (ovarian),high,OV2295,FALSE,RNA,log2(TPM+1),11.697709554174654,0.9106879064782727,29,31,91.9,0,10.327567029419294,12.506786360845545,z per gene across all 31 RNA lines (log2 TPM+1),diffuse in ovarian MOC; often lost in GI
KRT7,Mullerian (ovarian),high,TOV3291G,FALSE,RNA,log2(TPM+1),11.493330811153045,0.8634945437193742,28,31,88.7,0,10.327567029419294,12.506786360845545,z per gene across all 31 RNA lines (log2 TPM+1),diffuse in ovarian MOC; often lost in GI
KRT7,Mullerian (ovarian),high,TOV1369,FALSE,RNA,log2(TPM+1),11.38587523496335,0.8386818361324088,27,31,85.5,0,10.327567029419294,12.506786360845545,z per gene across all 31 RNA lines (log2 TPM+1),diffuse in ovarian MOC; often lost in GI
KRT7,Mullerian (ovarian),high,VOA4841,FALSE,RNA,log2(TPM+1),11.355375109938981,0.8316390123867189,26,31,82.3,0,10.327567029419294,12.506786360845545,z per gene across all 31 RNA lines (log2 TPM+1),diffuse in ovarian MOC; often lost in GI
KRT7,Mullerian (ovarian),high,TOV3041G,FALSE,RNA,log2(TPM+1),11.248324603312092,0.8069198399420949,25,31,79,0,10.327567029419294,12.506786360845545,z per gene across all 31 RNA lines (log2 TPM+1),diffuse in ovarian MOC; often lost in GI
