our_line,depmap_ACH,spearman_hvg,spearman_allgenes,depmap_name,depmap_subtype,our_subtype,is_selfpair,our_line_has_depmap_namesake
COV434,ACH-000443,0.13431197410669884,0.7920494564195468,OVKATE,High-Grade Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-000719,0.13383228321189877,0.8109740755057492,RMGI,Clear Cell Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-001369,0.12931521372123178,0.8017046868902671,OCIC5X,Clear Cell Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-001418,0.12190003993396037,0.814962160202198,UWB1289,Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-000132,0.11556517359615742,0.8183331261954447,JHOS2,High-Grade Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-001630,0.10583842560751185,0.8079406866028676,PEO1,Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-001632,0.10465183526462699,0.8020338105310169,PEO4,Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-000608,0.09911094742017988,0.7969817029627113,COV644,Mucinous Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-001340,0.09449775417487342,0.8090454839841855,COV413A,Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-000460,0.08871191030371252,0.8175837139604927,SNU8,Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-002038,0.08301207558720505,0.7869727359235916,HSKTC,"Ovarian Cancer, Other",SCCOHT,FALSE,TRUE
COV434,ACH-000333,0.08065449594705014,0.7803299993719622,JHOM2B,Mucinous Ovarian Cancer,SCCOHT,FALSE,TRUE
COV434,ACH-000796,0.07340769242446385,0.8088717393451548,MCAS,Mucinous Ovarian Cancer,SCCOHT,FALSE,TRUE
OV1369-R2,ACH-001628,0.648954130355373,0.883308690646716,PEA1,High-Grade Serous Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-002486,0.6253340100466525,0.8771183970662664,MESOV,Serous Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-000091,0.6180776233249283,0.8737504707765322,OV56,Serous Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-000278,0.6161054064201043,0.8975611888241144,COV362,High-Grade Serous Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-001719,0.6022287298065585,0.8778195118555931,OCIC4P,Clear Cell Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-000494,0.5948368454987979,0.8904136017711296,OELE,Immortalized Ovarian Cells,HGS,FALSE,FALSE
OV1369-R2,ACH-000520,0.5886839272000249,0.8860128455925779,59M,High-Grade Serous Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-000663,0.567623158583657,0.8729474441562185,OVTOKO,Clear Cell Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-000811,0.5614064833709075,0.8828153627515066,SKOV3,Serous Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-001418,0.5472400185093301,0.8823116323474112,UWB1289,Serous Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-000324,0.539304105598793,0.8748202352393001,JHOC5,Clear Cell Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-000885,0.5382212396487516,0.8774832462325776,TOV21G,Clear Cell Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-001048,0.532646907303397,0.8701530041551802,COV504,Serous Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-000696,0.527449454093928,0.8752504829306337,OVCAR8,High-Grade Serous Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-000308,0.5252923068918353,0.8586684796150743,EFO21,Serous Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-000542,0.5196135804733688,0.8554683392015154,HEYA8,High-Grade Serous Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-000688,0.51129006372276,0.8798618664982302,OV7,Mixed Ovarian Carcinoma,HGS,FALSE,FALSE
OV1369-R2,ACH-002524,0.5007378130159739,0.8663362787136771,SNU251,Endometrioid Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-001370,0.4911841524133367,0.8354079602509981,OCIP5X,Serous Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-001145,0.4860263802371176,0.8682258424647301,OC316,Serous Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-000617,0.4776842050727941,0.8830923930570325,OVCAR4,High-Grade Serous Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-000936,0.4621204571334232,0.8677327425750143,EFO27,Mucinous Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-000962,0.4608990753143342,0.866253352588845,OC314,Serous Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-000704,0.4602039413632833,0.8754205775555418,OAW42,Serous Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-001403,0.45959446001857074,0.8502317647033342,TO14,Serous Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-000132,0.45347517642609747,0.8576848182417884,JHOS2,High-Grade Serous Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-001369,0.45096771199710867,0.8573151650342591,OCIC5X,Clear Cell Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-000574,0.44804540752869426,0.8591564466659924,FUOV1,High-Grade Serous Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-000460,0.4449527673034438,0.870160958196142,SNU8,Serous Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-000237,0.4435432267176071,0.8481951770410681,JHOM1,Mucinous Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-000966,0.443311761001422,0.8705782617667633,IGROV1,Endometrioid Ovarian Cancer,HGS,FALSE,FALSE
