"cell_line","substrate","reference","signature","bootstrap_count_correlation_with_sbs3"
"OV2295-R2","baseline","genome_full","SBS18",0.250052208640653
"OV2295-R2","baseline","genome_full","SBS19",-0.049350721269213
"OV2295-R2","baseline","genome_full","SBS20",
"OV2295-R2","baseline","genome_full","SBS21",
"OV2295-R2","baseline","genome_full","SBS22",
"OV2295-R2","baseline","genome_full","SBS23",0.020222246367313
"OV2295-R2","baseline","genome_full","SBS24",-0.165909565066371
"OV2295-R2","baseline","genome_full","SBS25",
"OV2295-R2","baseline","genome_full","SBS26",-0.116767176157494
"OV2295-R2","baseline","genome_full","SBS28",-0.0586596556116618
"OV2295-R2","baseline","genome_full","SBS29",0.140734302696785
"OV2295-R2","baseline","genome_full","SBS30",0.167876212385497
"OV2295-R2","baseline","genome_full","SBS31",-0.210887996823495
"OV2295-R2","baseline","genome_full","SBS32",-0.0651413541694902
"OV2295-R2","baseline","genome_full","SBS33",-0.0413754006666887
"OV2295-R2","baseline","genome_full","SBS34",
"OV2295-R2","baseline","genome_full","SBS35",
"OV2295-R2","baseline","genome_full","SBS36",
"OV2295-R2","baseline","genome_full","SBS37",-0.213512045244115
"OV2295-R2","baseline","genome_full","SBS38",0.0107641906283572
"OV2295-R2","baseline","genome_full","SBS39",-0.34870426213087
"OV2295-R2","baseline","genome_full","SBS40",-0.1865697791927
"OV2295-R2","baseline","genome_full","SBS41",-0.00253127485748542
"OV2295-R2","baseline","genome_full","SBS42",
"OV2295-R2","baseline","genome_full","SBS44",
"OV2295-R2","baseline","genome_full","SBS84",-0.0976365627604031
"OV2295-R2","baseline","genome_full","SBS85",
"OV2295-R2","baseline","genome_full","SBS86",-0.132507638196808
"OV2295-R2","baseline","genome_full","SBS87",-0.0568298780420312
"OV2295-R2","baseline","genome_full","SBS88",-0.0576816811193002
"OV2295-R2","baseline","genome_full","SBS89",-0.396946652638736
"OV2295-R2","baseline","genome_full","SBS90",
"OV2295-R2","baseline","genome_full","SBS91",-0.00335581535106585
"OV2295-R2","baseline","genome_full","SBS92",
"OV2295-R2","baseline","genome_full","SBS93",-0.0413754006666894
"OV2295-R2","baseline","genome_full","SBS94",0.0032374351051649
"OV3133-R","baseline","genome_full","SBS1",-0.162348668212869
"OV3133-R","baseline","genome_full","SBS2",-0.0462514935160803
"OV3133-R","baseline","genome_full","SBS3",1
"OV3133-R","baseline","genome_full","SBS4",0.00410546081843189
"OV3133-R","baseline","genome_full","SBS5",-0.315917743782816
"OV3133-R","baseline","genome_full","SBS6",0.235532660057341
"OV3133-R","baseline","genome_full","SBS7a",0.226020157195446
"OV3133-R","baseline","genome_full","SBS7b",-0.141382797437433
"OV3133-R","baseline","genome_full","SBS7c",
"OV3133-R","baseline","genome_full","SBS7d",-0.0218256405308618
"OV3133-R","baseline","genome_full","SBS8",-0.0385582123899508
"OV3133-R","baseline","genome_full","SBS9",
"OV3133-R","baseline","genome_full","SBS10a",-0.0387398153803104
"OV3133-R","baseline","genome_full","SBS10b",0.189500564168288
"OV3133-R","baseline","genome_full","SBS10c",
"OV3133-R","baseline","genome_full","SBS10d",-0.0367660883103914
"OV3133-R","baseline","genome_full","SBS11",-0.053463178099794
"OV3133-R","baseline","genome_full","SBS12",0.0415208565060527
"OV3133-R","baseline","genome_full","SBS13",0.0552730317753283
"OV3133-R","baseline","genome_full","SBS14",0.00581274115470607
"OV3133-R","baseline","genome_full","SBS15",-0.0187345817918599
"OV3133-R","baseline","genome_full","SBS16",0.19644725907361
"OV3133-R","baseline","genome_full","SBS17a",-0.0288774386021671
"OV3133-R","baseline","genome_full","SBS17b",
"OV3133-R","baseline","genome_full","SBS18",-0.0615126884097224
"OV3133-R","baseline","genome_full","SBS19",
"OV3133-R","baseline","genome_full","SBS20",-0.0307089537861167
"OV3133-R","baseline","genome_full","SBS21",0.00541706147755374
