"cell_line","substrate","from_reference","to_reference","paired_boot_delta_median","paired_boot_delta_lo95","paired_boot_delta_hi95","n_boots"
"TOV81D","rare_read_supported","genome_restricted","target_restricted",-0.176196008445384,-0.304596578114729,0.00704966103455904,200
"TOV81D","rare_read_supported","target_full","target_restricted",0,-0.205456650757154,0.268427834105651,200
"TOV21G","baseline","genome_full","target_full",0,0,0,200
"TOV21G","baseline","genome_restricted","target_restricted",0,-0.208315425578859,0,200
"TOV21G","baseline","target_full","target_restricted",0,0,0,200
"TOV21G","rare_read_supported","genome_full","target_full",0,0,0,200
"TOV21G","rare_read_supported","genome_restricted","target_restricted",0,-0.0519151217800941,0,200
"TOV21G","rare_read_supported","target_full","target_restricted",0,0,0,200
"TOV3392D","baseline","genome_full","target_full",0,0,0,200
"TOV3392D","baseline","genome_restricted","target_restricted",-0.194734314836573,-0.369250812718769,0,200
"TOV3392D","baseline","target_full","target_restricted",0,0,0.113137856784154,200
"TOV3392D","rare_read_supported","genome_full","target_full",0,-0.249001548408259,0.00115545460975417,200
"TOV3392D","rare_read_supported","genome_restricted","target_restricted",-0.163378934265193,-0.338249447792667,0,200
"TOV3392D","rare_read_supported","target_full","target_restricted",0,0,0.207853611130873,200
"TOV112D","baseline","genome_full","target_full",0,0,0,200
"TOV112D","baseline","genome_restricted","target_restricted",0,-0.216138256714864,0,200
"TOV112D","baseline","target_full","target_restricted",0,0,0,200
"TOV112D","rare_read_supported","genome_full","target_full",0,0,0,200
"TOV112D","rare_read_supported","genome_restricted","target_restricted",0,0,0,200
"TOV112D","rare_read_supported","target_full","target_restricted",0,0,0,200
"TOV2414","baseline","genome_full","target_full",0,-0.102384185909468,0,200
"TOV2414","baseline","genome_restricted","target_restricted",-0.159260526711813,-0.310106788215105,0,200
"TOV2414","baseline","target_full","target_restricted",0,0,0.111908195899864,200
"TOV2414","rare_read_supported","genome_full","target_full",0,-0.0670020842481,0.00137232702085743,200
"TOV2414","rare_read_supported","genome_restricted","target_restricted",-0.148097365217608,-0.317485564946081,0,200
"TOV2414","rare_read_supported","target_full","target_restricted",0,0,0.250617941602225,200
