"cell_line","substrate","reference","replicate","sbs3_count","total_fitted","sbs3_fraction"
"OV1369-R2","baseline","genome_full",64,77.0894546769517,588.678595300419,0.130953384907109
"OV1369-R2","baseline","genome_full",65,87.7185685642507,596.817581785918,0.146977185728613
"OV1369-R2","baseline","genome_full",66,0,582.052265407416,0
"OV1369-R2","baseline","genome_full",67,140.640652306219,605.466103016052,0.232284931568647
"OV1369-R2","baseline","genome_full",68,248.783952651562,590.702883252142,0.421165969737393
"OV1369-R2","baseline","genome_full",69,42.8173958367665,588.124869786663,0.0728032396458563
"OV1369-R2","baseline","genome_full",70,147.623715494432,589.897275656776,0.250253258637399
"OV1369-R2","baseline","genome_full",71,319.803758851574,576.415341905025,0.554814793434606
"OV1369-R2","baseline","genome_full",72,311.627423701637,580.298183073391,0.537012578690471
"OV1369-R2","baseline","genome_full",73,216.317722479123,606.676361241815,0.356561976531175
"OV1369-R2","baseline","genome_full",74,230.390342840223,588.542898418733,0.391458878289457
"OV1369-R2","baseline","genome_full",75,298.813840641816,603.812323367601,0.494878671861584
"OV1369-R2","baseline","genome_full",76,32.3110823047848,594.12615045263,0.0543842116361465
"OV1369-R2","baseline","genome_full",77,0,604.286355091584,0
"OV1369-R2","baseline","genome_full",78,77.8013708890439,594.446310163677,0.130880400061062
"OV1369-R2","baseline","genome_full",79,271.203504702448,584.919844806036,0.463659263932788
"OV1369-R2","baseline","genome_full",80,232.809880414802,586.170855027795,0.397170685676215
"OV1369-R2","baseline","genome_full",81,0,584.598569920126,0
"OV1369-R2","baseline","genome_full",82,178.992856595837,589.526032948872,0.303621632619844
"OV1369-R2","baseline","genome_full",83,0,582.927338142413,0
"OV1369-R2","baseline","genome_full",84,180.316889064182,601.916346886151,0.29957134408627
"OV1369-R2","baseline","genome_full",85,209.462185274634,594.531266932162,0.352314835106114
"OV1369-R2","baseline","genome_full",86,237.951691780182,596.225870219351,0.39909655663321
"OV1369-R2","baseline","genome_full",87,0,582.094039308666,0
"OV1369-R2","baseline","genome_full",88,166.987023114362,577.706184546081,0.289051818348748
"OV1369-R2","baseline","genome_full",89,236.42984897196,601.798066281512,0.392872397269156
"OV1369-R2","baseline","genome_full",90,0,587.397979347485,0
"OV1369-R2","baseline","genome_full",91,230.485290411894,580.712264405617,0.396901020590301
"OV1369-R2","baseline","genome_full",92,0,577.441680522392,0
"OV1369-R2","baseline","genome_full",93,334.190931428273,576.762758418977,0.579425294976323
"OV1369-R2","baseline","genome_full",94,106.31006752047,594.812796526126,0.178728615358229
"OV1369-R2","baseline","genome_full",95,240.80418249078,587.732279895111,0.409717469548814
"OV1369-R2","baseline","genome_full",96,117.155332852884,592.393120873838,0.19776619397617
"OV1369-R2","baseline","genome_full",97,235.239385936358,590.007308240508,0.398705884911626
"OV1369-R2","baseline","genome_full",98,39.2992078568952,586.892518111441,0.0669615076766627
"OV1369-R2","baseline","genome_full",99,0,596.148825157341,0
"OV1369-R2","baseline","genome_full",100,281.732182516249,588.410253818611,0.478802299395514
"OV1369-R2","baseline","genome_full",101,274.551917828213,601.039326196767,0.456795264239216
"OV1369-R2","baseline","genome_full",102,240.455473543683,595.324590366845,0.403906503165797
"OV1369-R2","baseline","genome_full",103,260.87077562279,595.551178896406,0.438032506469385
"OV1369-R2","baseline","genome_full",104,312.107657208426,594.807911111424,0.524720084212127
"OV1369-R2","baseline","genome_full",105,229.884250352914,594.566849984262,0.386641553189518
"OV1369-R2","baseline","genome_full",106,0,572.470962747609,0
"OV1369-R2","baseline","genome_full",107,312.839457863301,596.862794556875,0.524139652724645
"OV1369-R2","baseline","genome_full",108,0,584.35746850796,0
"OV1369-R2","baseline","genome_full",109,259.098664998891,580.140651555707,0.446613531225731
"OV1369-R2","baseline","genome_full",110,200.886986633086,578.992309624667,0.346959680281957
"OV1369-R2","baseline","genome_full",111,297.509046265533,588.651914062952,0.50540742187023
"OV1369-R2","baseline","genome_full",112,0,590.766527695941,0
"OV1369-R2","baseline","genome_full",113,266.953468848602,603.06324311896,0.442662476771018
"OV1369-R2","baseline","genome_full",114,227.865609083542,590.289922200747,0.386023207433396
"OV1369-R2","baseline","genome_full",115,186.944197148101,587.817431494919,0.318031053745157
"OV1369-R2","baseline","genome_full",116,148.754393307132,595.447195578674,0.249819621977677
"OV1369-R2","baseline","genome_full",117,167.553952171452,578.405302914805,0.289682600292707
"OV1369-R2","baseline","genome_full",118,129.096379659562,594.967625028648,0.216980511592283
"OV1369-R2","baseline","genome_full",119,297.604602922308,608.602373846096,0.488996782976016
"OV1369-R2","baseline","genome_full",120,325.356476197701,584.828300805134,0.556328200515916
"OV1369-R2","baseline","genome_full",121,332.126208763409,589.62016645132,0.563288414577709
"OV1369-R2","baseline","genome_full",122,295.544337660375,572.235076803492,0.516473648052628
"OV1369-R2","baseline","genome_full",123,0,585.903784216591,0
"OV1369-R2","baseline","genome_full",124,316.694991529711,595.327256206695,0.531967902070581
"OV1369-R2","baseline","genome_full",125,0,576.437612853291,0
"OV1369-R2","baseline","genome_full",126,244.511848160746,600.14248455511,0.407422994461065
"OV1369-R2","baseline","genome_full",127,268.718903170793,600.908602105942,0.447187645889977
"OV1369-R2","baseline","genome_full",128,116.51037526959,603.337125399116,0.19310990549855
"OV1369-R2","baseline","genome_full",129,142.390515119822,596.784487075771,0.238596207179467
"OV1369-R2","baseline","genome_full",130,0,577.899900557185,0
"OV1369-R2","baseline","genome_full",131,274.722208200249,594.112197598113,0.462407958144777
