"cell_line","substrate","reference","signature","count","fraction"
"OV2295-R2","baseline","genome_full","SBS7b",41.1676918591415,0.0742003552972862
"OV2295-R2","baseline","genome_full","SBS7c",0,0
"OV2295-R2","baseline","genome_full","SBS7d",0,0
"OV2295-R2","baseline","genome_full","SBS8",0,0
"OV2295-R2","baseline","genome_full","SBS9",0,0
"OV2295-R2","baseline","genome_full","SBS10a",0,0
"OV2295-R2","baseline","genome_full","SBS10b",0,0
"OV2295-R2","baseline","genome_full","SBS10c",0,0
"OV2295-R2","baseline","genome_full","SBS10d",0,0
"OV2295-R2","baseline","genome_full","SBS11",0,0
"OV2295-R2","baseline","genome_full","SBS12",0,0
"OV2295-R2","baseline","genome_full","SBS13",0,0
"OV2295-R2","baseline","genome_full","SBS14",0,0
"OV2295-R2","baseline","genome_full","SBS15",0,0
"OV2295-R2","baseline","genome_full","SBS16",0,0
"OV2295-R2","baseline","genome_full","SBS17a",0,0
"OV2295-R2","baseline","genome_full","SBS17b",0,0
"OV2295-R2","baseline","genome_full","SBS18",0,0
"OV2295-R2","baseline","genome_full","SBS19",0,0
"OV2295-R2","baseline","genome_full","SBS20",0,0
"OV2295-R2","baseline","genome_full","SBS21",0,0
"OV2295-R2","baseline","genome_full","SBS22",0,0
"OV2295-R2","baseline","genome_full","SBS23",0,0
"OV2295-R2","baseline","genome_full","SBS24",81.8908425597283,0.147599472769001
"OV2295-R2","baseline","genome_full","SBS25",0,0
"OV2295-R2","baseline","genome_full","SBS26",0,0
"OV2295-R2","baseline","genome_full","SBS28",0,0
"OV2295-R2","baseline","genome_full","SBS29",0,0
"OV2295-R2","baseline","genome_full","SBS30",0,0
"OV2295-R2","baseline","genome_full","SBS31",0,0
"OV2295-R2","baseline","genome_full","SBS32",0,0
"OV2295-R2","baseline","genome_full","SBS33",0,0
"OV2295-R2","baseline","genome_full","SBS34",0,0
"OV2295-R2","baseline","genome_full","SBS35",0,0
"OV2295-R2","baseline","genome_full","SBS36",0,0
"OV2295-R2","baseline","genome_full","SBS37",0,0
"OV2295-R2","baseline","genome_full","SBS38",0,0
