cell_line,gene_id,symbol,primary_assembly,tpm_restored,counts_restored
VOA4841,ENSG00000132199,ENOSF1,TRUE,4.02185,325.773
VOA4841,ENSG00000234745,HLA-B,TRUE,0,0
VOA4841,ENSG00000011451,WIZ,TRUE,16.291,2718.02
VOA4841,ENSG00000160408,ST6GALNAC6,TRUE,1.17124,122.595
VOA4841,ENSG00000123815,COQ8B,TRUE,0.279984,2
VOA4841,ENSG00000165923,AGBL2,TRUE,0,0
VOA4841,ENSG00000250317,SMIM20,TRUE,0.974172,47.0498
VOA4841,ENSG00000277586,NEFL,TRUE,0,0
VOA4841,ENSG00000132950,ZMYM5,TRUE,0.656066,76.499
VOA4841,ENSG00000065675,PRKCQ,TRUE,0.75241,104.925
VOA4841,ENSG00000064309,CDON,TRUE,0.618395,33.67676
VOA4841,ENSG00000137812,KNL1,TRUE,0,0
VOA4841,ENSG00000106992,AK1,TRUE,2.6204,262.761
VOA4841,ENSG00000184564,SLITRK6,TRUE,0,0
VOA4841,ENSG00000048545,GUCA1A,TRUE,0,0
VOA4841,ENSG00000158865,SLC5A11,TRUE,0,0
VOA4841,ENSG00000072415,MPP5,TRUE,0,0
VOA4841,ENSG00000212725,KRTAP2-1,TRUE,0,0
VOA4841,ENSG00000214518,KRTAP2-2,TRUE,0,0
VOA4841,ENSG00000144451,SPAG16,TRUE,0,0
VOA4841,ENSG00000152217,SETBP1,TRUE,0.921906,432.373
VOA4841,ENSG00000139549,DHH,TRUE,0.0474305,4
VOA4841,ENSG00000165995,CACNB2,TRUE,0,0
VOA4841,ENSG00000240871,KRTAP4-7,TRUE,0,0
VOA4841,ENSG00000204880,KRTAP4-8,TRUE,0,0
VOA4841,ENSG00000212722,KRTAP4-9,TRUE,0.00835755,0.148939
VOA4841,ENSG00000176842,IRX5,TRUE,0,0
VOA4841,ENSG00000205863,C1QTNF9B,TRUE,0.202621,16.0014
VOA4841,ENSG00000171848,RRM2,TRUE,0.103456,4.34695
VOA4841,ENSG00000198121,LPAR1,TRUE,2.36589,262.84
VOA4841,ENSG00000113013,HSPA9,TRUE,7.38595,188.81989
VOA4841,ENSG00000204525,HLA-C,TRUE,0,0
VOA4841,ENSG00000126883,NUP214,TRUE,4.94953,1155.02
VOA4841,ENSG00000268223,ARL14EPL,TRUE,0,0
VOA4841,ENSG00000172901,LVRN,TRUE,0.0696913,14.6573
VOA4841,ENSG00000065000,AP3D1,TRUE,3.83634,897.656
VOA4841,ENSG00000146426,TIAM2,TRUE,0.535215,8.21308
VOA4841,ENSG00000087274,ADD1,TRUE,0.0382343,6.56562
VOA4841,ENSG00000188124,OR2AG2,TRUE,0,0
VOA4841,ENSG00000156413,FUT6,TRUE,0.0342769,0.844319
VOA4841,ENSG00000107186,MPDZ,TRUE,2.73158,976.297
VOA4841,ENSG00000279486,OR2AG1,TRUE,0,0
VOA4841,ENSG00000184933,OR6A2,TRUE,0,0
VOA4841,ENSG00000204248,COL11A2,TRUE,0,0
VOA4841,ENSG00000145730,PAM,TRUE,22.2067,473.285
VOA4841,ENSG00000174951,FUT1,TRUE,1.40943,276.138
VOA4841,ENSG00000119919,NKX2-3,TRUE,0,0
VOA4841,ENSG00000109991,P2RX3,TRUE,0,0
