"model","profile","center","autosomal_span_bp","fga"
"OV1369-R2","Archived",-0.2705,2741890670,0.57722373882982
"OV1369-R2","Archived",-0.2704,2741890670,0.57722373882982
"OV1369-R2","Archived",-0.2703,2741890670,0.57722373882982
"OV1369-R2","Archived",-0.2702,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.2701,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.27,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.2699,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.2698,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.2697,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.2696,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.2695,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.2694,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.2693,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.2692,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.2691,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.269,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.2689,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.2688,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.2687,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.2686,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.2685,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.2684,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.2683,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.2682,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.2681,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.268,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.2679,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.2678,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.2677,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.2676,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.2675,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.2674,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.2673,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.2672,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.2671,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.267,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.2669,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.2668,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.2667,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.2666,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.2665,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.2664,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.2663,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.2662,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.2661,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.266,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.2659,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.2658,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.2657,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.2656,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.2655,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.2654,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.2653,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.2652,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.2651,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.265,2741890670,0.578014709827945
"OV1369-R2","Archived",-0.2649,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2648,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2647,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2646,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2645,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2644,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2643,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2642,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2641,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.264,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2639,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2638,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2637,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2636,2741890670,0.583702953407694
