cell_line,histotype_code,histotype_label,histotype_note,contributing_centre,patient_id,models_from_same_patient,selected_patient_model,rna_available,protein_available,copy_number_available,variants_available,rna_sample_id,rna_passage,wes_passage,tmt_plex,tmt_channel,stock_str_documentation,stock_mycoplasma_documentation,rna_pseudoalign_pct,rna_sequenced_fragments_M,rna_assigned_gene_counts_M,rna_genes_detected,prot_n_detected,prot_pct_missing,wes_n_coding,fga_autosome,cellosaurus_accession,str_profile_documented,problematic_flag
TOV21G,CC,Clear cell carcinoma,consensus,CHUM,TOV21G,1,TRUE,TRUE,TRUE,TRUE,TRUE,TOV21Gp63,p63,P59,5,ch5,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,91.9,67,61.6,20573,7653,9.2,1416,0.078,CVCL_3613,TRUE,
TOV3392D,CC,Clear cell carcinoma,consensus,CHUM,TOV3392D,1,TRUE,TRUE,TRUE,TRUE,TRUE,TOV3392Dp69,p69,P69,1,ch7,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,92.3,52.6,48.5,18907,7738,8.2,196,0.688,CVCL_A1SS,TRUE,
VOA10816,CC,Clear cell carcinoma,consensus,BC Cancer-OVCARE,VOA10816,1,TRUE,TRUE,TRUE,FALSE,FALSE,VOA10816p20,p20,,1,ch6,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,86.6,57.7,49.9,20643,7738,8.2,,,,FALSE,
VOA12539,CC,Clear cell carcinoma,consensus,BC Cancer-OVCARE,VOA12539,1,TRUE,TRUE,TRUE,FALSE,FALSE,VOA12539p41,p41,,2,ch7,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,89.3,77.8,69.5,20974,7758,7.9,,,,FALSE,
VOA14993,CC,Clear cell carcinoma,consensus,BC Cancer-OVCARE,VOA14993,1,TRUE,FALSE,TRUE,FALSE,FALSE,,,,3,ch6,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,,,,,7562,10.3,,,,FALSE,
VOA295,CC,Clear cell carcinoma,consensus,BC Cancer-OVCARE,VOA295,1,TRUE,TRUE,TRUE,FALSE,FALSE,VOA295p31,p31,,2,ch6,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,86.9,90.1,78.3,21057,7758,7.9,,,,FALSE,
VOA4841,CC,Clear cell carcinoma,consensus,BC Cancer-OVCARE,VOA4841,1,TRUE,TRUE,TRUE,FALSE,FALSE,VOA4841p43,p43,,3,ch7,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,85.8,86.3,74,20912,7562,10.3,,,,FALSE,
VOA6861,CC,Clear cell carcinoma,consensus,BC Cancer-OVCARE,VOA6861,1,TRUE,TRUE,FALSE,FALSE,FALSE,VOA6861p17,p17,,,,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,88,80.2,70.6,21208,,,,,,FALSE,
TOV112D,EC,Endometrioid carcinoma (historical grouping),Published reassignment to dedifferentiated ovarian carcinoma; retained in the historical EC group for analysis.,CHUM,TOV112D,1,TRUE,TRUE,TRUE,TRUE,TRUE,TOV112Dp63,p63,P83,4,ch6,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,91.1,51.3,46.7,19841,7694,8.7,133,0.233,CVCL_3612,TRUE,
VOA4395,EC,Endometrioid carcinoma (historical grouping),consensus,BC Cancer-OVCARE,VOA4395,1,TRUE,TRUE,TRUE,FALSE,FALSE,VOA4395p39-40,p39-40,,1,ch8,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,88.6,50.9,45.1,19686,7738,8.2,,,,FALSE,
TOV2414,MC,Mucinous carcinoma,consensus,CHUM,TOV2414,1,TRUE,TRUE,TRUE,TRUE,TRUE,TOV2414p69,p69,P65,5,ch6,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,92.9,83.4,77.5,19582,7653,9.2,142,0.331,CVCL_A1SR,TRUE,
VOA8762,MC,Mucinous carcinoma,consensus,BC Cancer-OVCARE,VOA8762,1,TRUE,TRUE,TRUE,FALSE,FALSE,VOA8762p27,p27,,4,ch7,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,85.8,87.2,74.8,21788,7694,8.7,,,,FALSE,
VOA8771,MC,Mucinous carcinoma,consensus,BC Cancer-OVCARE,VOA8771,1,TRUE,TRUE,TRUE,FALSE,FALSE,VOA8771p28,p28,,5,ch8,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,88.1,74.7,65.8,21476,7653,9.2,,,,FALSE,
VOA5217,MMMT,Carcinosarcoma,consensus,BC Cancer-OVCARE,VOA5217,1,TRUE,TRUE,TRUE,FALSE,FALSE,VOA5217p36,p36,,4,ch8,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,89.9,49.1,44.1,19788,7694,8.7,,,,FALSE,
VOA5436,MMMT,Carcinosarcoma,consensus,BC Cancer-OVCARE,VOA5436,1,TRUE,TRUE,TRUE,FALSE,FALSE,VOA5436p35,p35,,5,ch7,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,88.8,81.9,72.7,20464,7653,9.2,,,,FALSE,
BIN67,SCCOHT,"Small cell carcinoma of the ovary, hypercalcaemic type",consensus,OHRI,BIN67,1,TRUE,TRUE,TRUE,FALSE,FALSE,BIN67p51,p51,,3,ch3,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,87.9,50.5,44.4,20270,7562,10.3,,,CVCL_S987,TRUE,
COV434,SCCOHT,"Small cell carcinoma of the ovary, hypercalcaemic type",consensus,BC Cancer-OVCARE,COV434,1,TRUE,TRUE,TRUE,FALSE,FALSE,COV434p46,p46,,1,ch10,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,89.1,52.6,46.8,20184,7738,8.2,,,CVCL_2010,TRUE,"Misclassified. Originally thought to be an ovarian granulosa cell tumor but seems to be a small cell carcinoma of the ovary, hypercalcemic type (SCCOHT) (PubMed=33328126)."
